File,Affinity,SMILES
out_113_EGFR.pdbqt,-8.4,C=C(Cl)NC=C1C(=NB-N)N=CN=C1Nc1ccccc1
out_114_EGFR.pdbqt,-9.4,C=C=C1C=CCNC2NN=C2N=CN=C(Nc2ccbc(Cl)c2)CO1
out_115_EGFR.pdbqt,-8.2,C=C(Cl)NC=C1C(=N)N=CN=C1NNc1ccccc1
out_116_EGFR.pdbqt,-6.6,C=C1C=CC2=C1C(P)CC=CNC=NC=NC=NNCC-2
out_117_EGFR.pdbqt,-8.6,CC(Cl)=CC(=CC=O)NCC1=NC=NC2=NNC(N3CC=C(O)CC3)=S-12
out_118_EGFR.pdbqt,-7.7,Nc1ccc(C2NNC3N=CN=C(Nc4cccc(Cl)c4)B-32)cc1
out_119_EGFR.pdbqt,-9.2,Oc1ccc(C2NN=C3N=CNc4cc(Cl)cc(c4)NC32)cc1
out_120_EGFR.pdbqt,-7.8,OC1=CCC2(CC=C1)CCN(c1cccc(Cl)c1)NC2
out_121_EGFR.pdbqt,-7.3,Oc1ccc(NC2=S-3=C(Cl)C=CC=C3NC3=NC=NC3=NN2)cc1
out_122_EGFR.pdbqt,-6.3,ClOC1=CC=C(NB-C=NN=C2CC(Nc3cc4ccc3-4)=NC=N2)CB1
out_123_EGFR.pdbqt,-8.2,OC1=CCn2nc3ncnc(Nc4cccc(Cl)c4)c3c2NNC=C1
out_124_EGFR.pdbqt,-8.5,ClC1=CC(=NC=NC2B=C(NCC=CC=C3C=CO3)NN2)CC=C1
out_125_EGFR.pdbqt,-8.0,COc1cccc(-n2cc3c(Nc4cccc(Cl)c4)ncnc3n2)c1
out_126_EGFR.pdbqt,-7.9,COC=C1C=CCSNc2c3c(Nc4cccc(Cl)c4)ncnc3nn2C1
out_127_EGFR.pdbqt,-9.0,COC1=CCC=CN1C1NN=C2CC(C)C=CC=CNC1=NC=N2
out_128_EGFR.pdbqt,-8.2,COC=CC=CCNC1=C2C3=P-2N=CN=C3N2C=CC=CC2(Cl)NN1C
out_129_EGFR.pdbqt,-9.0,C#CC=C(OC)P-CNPC=NNCC(=NC=N)NC=CC=CC(C)C
out_130_EGFR.pdbqt,-7.1,C=CC=C(C=C(N)N1NN=C2N=CC(NC=CC=CC(C)Cl)C=C21)OC
out_131_EGFR.pdbqt,-7.6,COC1=CC=CC(NC=C=S-C(Cl)N=CN=CNc2ccccc2)P=C1
out_132_EGFR.pdbqt,-7.4,COCC=C1CNN=C2N=CC2=CC=C1Nc1cccc(Cl)c1
out_133_EGFR.pdbqt,-8.0,CC1C=CN2COCC=CC(=NC2=NPN)C(N)C=CC=CN1
out_134_EGFR.pdbqt,-8.6,COC(C=CNC1=CCN2c3cccc(Cl)c3NC=NC12)CNN
out_136_EGFR.pdbqt,-9.1,C=PNN=C1N=CN=C(Nc2cccc(Cl)c2)C1=CNCC=CCOC
out_137_EGFR.pdbqt,-8.1,Cc1cccc(N2CN=CC2C(=NNN)c2ccccc2Cl)c1
out_138_EGFR.pdbqt,-8.6,COc1cccc(NC2=S-3C(=NN2)N=CN3Nc2cccc(Cl)c2)c1
out_139_EGFR.pdbqt,-7.5,COC1=CC=CCNC2C(CN=CN3CC=C(Cl)CC3)=NN12
out_140_EGFR.pdbqt,-8.9,CN=C1N=CN=C(Nc2cccc(Cl)c2)C1=Cc1cccc(CN)c1
out_141_EGFR.pdbqt,-8.8,COc1cccc(NC2=CC3(c4cccc(Cl)c4)NC=NC3=N2)c1
out_142_EGFR.pdbqt,-8.6,COc1cccc(N2NN=C3N=CNC(NC4=CCSC(Cl)=C4)=C32)c1
out_144_EGFR.pdbqt,-8.0,OC1=NCC=CCNCNN=C2N=CN=C(C3=CCC#C3)C12
out_145_EGFR.pdbqt,-8.1,C=CC(Cl)=CC1=C=NC(NCNc2ccccc2)CCN1
out_146_EGFR.pdbqt,-7.6,NN=C1N=CN=C(NCC=C=B-CCl)C1=CNc1cccc(O)c1
out_148_EGFR.pdbqt,-8.6,Oc1cccc(NC2=c3c(Nc4cccc(Cl)c4)ncnc3=P-N2)c1
out_149_EGFR.pdbqt,-8.4,CC1C(O)=CC=CN1C12N=CN=CN=CNc3cccc(c31)N2
out_150_EGFR.pdbqt,-8.4,Clc1cccc(Nc2c#b-n(CNC3=C=COC=CC3)ncncn2)c1
out_152_EGFR.pdbqt,-7.7,Oc1cccc(N2CN3N=CC=CC(Cl)=CCNCBC2N3)c1
out_153_EGFR.pdbqt,-7.7,C=C1C=CC=C(O)C(Nc2cccc(Cl)c2)=NC=NC=NNCN1
out_154_EGFR.pdbqt,-8.3,N=CC(C1C=NCN1C1C=CC=C(O)P1)N1C=C(Cl)C=CC1N
out_155_EGFR.pdbqt,-9.7,C=C(C=CC=CCN)C=C(NNN=CN)Nc1cccc(O)c1
out_156_EGFR.pdbqt,-7.6,OC=CC=CC1=C=Pc2ccc(cc2Cl)NC=NC=NP2=C=C(NN=2)N1
out_157_EGFR.pdbqt,-8.5,C=C=C(C=CCNC1C=c2c(Nc3cccc(Cl)c3)ncnc2=NN1)NC(=O)OC(C)C
out_158_EGFR.pdbqt,-9.2,CC(C)(C)OC(=O)Nc1ccc(NN2NN=C3N=CN=C(Nc4cccc(Cl)c4)C32)cc1
out_159_EGFR.pdbqt,-7.1,B#CNC1=C=NC2C=C1Nc1ccc(cc1)NC(=O)OC(C)(C)CN2
out_160_EGFR.pdbqt,-8.9,C=CC(C)(C)ON(O)c1ccc(C(N)NN=CN=CN=CNc2cccc(Cl)c2)cc1
out_161_EGFR.pdbqt,-8.1,CC1=C(Cl)C=C=CC1=NC=NC=NNCNc1ccc(NCOC(C)(C)C)cc1
out_162_EGFR.pdbqt,-8.4,O=C(NC1=CCC2=NNC(NC=C1)C(Nc1cccc(Cl)c1)=NC=N2)OCBr
out_163_EGFR.pdbqt,-9.2,CC(C)(C)OC(=O)Nc1ccc(N2C=CCNC2=NNNc2cccc(Cl)c2)cc1
out_164_EGFR.pdbqt,-8.7,CCC(C)(C)OC(=O)C1=CC(N2C=C3C4=NC=NC3(C=C(Cl)C=CC=CN4)N2C)C1
out_166_EGFR.pdbqt,-6.7,CCC1B(C)OC(=O)NC2=C=CNC3=NC=NC(C3NCC=C2)N1CC
out_167_EGFR.pdbqt,-8.7,C=C1C=C(Cl)C(NC=NC2=NC=NNC(NCC=CC=CCC(O)CCCC)=C2)=C1
out_168_EGFR.pdbqt,-9.2,NN1C2N=CN=C(c3cccc(Cl)c3)C2=C2C3C=C3C21
out_169_EGFR.pdbqt,-9.1,CC(C)OC(=O)NC1=CCN2N=C(C=CC1)NC2=C1CN=CN=C1Nc1cccc(Cl)c1
out_170_EGFR.pdbqt,-8.4,CC(C)(C)OC(=O)NC1=CCN2N=C(C=C1)NC2=C1CN=CN=C1Nc1cccc(Cl)c1
out_171_EGFR.pdbqt,-8.5,CC(C)OC(=O)NCC12CC=C1N(C)C1N=C3N=C(NC=CC3C)C1=CN2
out_174_EGFR.pdbqt,-6.5,Clc1cccc(NC23C=S4C=CC=C(C=C2N4)CPN3)c1
out_175_EGFR.pdbqt,-8.9,NC1=CC=CNC2=Cc3c4cc(Cl)c(c3C2N=CN=NN4)C1N
out_177_EGFR.pdbqt,-8.1,C=CC=CCNN=C1CC(N2C=CC(Cl)=CC2)=NC=N1
out_178_EGFR.pdbqt,-9.7,CNN=C1N=CN=C(Nc2cccc(Cl)c2)CN1C1=CC(N)=CC1
out_179_EGFR.pdbqt,-8.4,CC1=CC(=CNC2=CC(S)N(c3cccc(Cl)c3)NC=NC=NN2)C=CN1
out_180_EGFR.pdbqt,-8.8,NC1=CC=C2NCN3N=CN=CN=C(C=CC=CC=C-1)C23
out_182_EGFR.pdbqt,-7.5,Clc1cccc(NC2=NC=NNC=NNC2=CNC2=C-CC=CC=C2)c1
out_183_EGFR.pdbqt,-8.8,Nc1ccc(NC2=C3C(NC4=CC(Cl)=C4)=NC=NP-3=NN2)cc1
out_184_EGFR.pdbqt,-8.0,CN1N=C2N=CC(Nc3cccc(Cl)c3)C=C2N1C1=CC(N)=CC1
out_185_EGFR.pdbqt,-6.6,CC=CC=CN(C)N1C=NC=NNCNC2=CC=C(N)C21
out_186_EGFR.pdbqt,-8.0,Clc1cccc2c1NC=CC=NCC=CC1=c3c(ncnc3=N1)N2
out_190_EGFR.pdbqt,-7.7,B#CNC1=CCN=CN=C=CNc2cc(Cl)ccc2NNC1
out_191_EGFR.pdbqt,-8.2,CCCP=Nc1ccc(NC2=C3CN=C(N=C3NCC)NN2)cc1
out_192_EGFR.pdbqt,-9.0,CC=CC=C(C=CC(=NC=NCBr)Nc1cccc(Cl)c1)CNC
out_193_EGFR.pdbqt,-9.9,CN(C)C1=CC=CN(N2N=C2N=CN=CCC=CCl)C1
out_194_EGFR.pdbqt,-6.6,CC1C2=CCCC=CC=CN2C2NN=CN1C1NC(=CC=CCCl)CP-21
out_195_EGFR.pdbqt,-7.8,C=C1C(N(C)C)=CC=CN1C12NN=CN1CN=C2Nc1cccc(Cl)c1
out_196_EGFR.pdbqt,-7.1,CC=CC(=CC=NC1=C2C(=NB=NN1)N=CC=CC2(C)NC)N(C)C
out_197_EGFR.pdbqt,-6.9,CN(C)C1=CC=NCN2NC(=CN2c2cccc(Cl)c2)C=C1
out_198_EGFR.pdbqt,-8.1,C=C(C=CCl)NC=NC1=NC=NNC(C=C=C(C)N(C)C)=CC1CC
out_199_EGFR.pdbqt,-7.3,CC(c1cccc(Cl)c1)C(CN=CN)(NN)Nc1ccc(N(C)C)cc1
out_200_EGFR.pdbqt,-7.7,C=C(Cl)C=CCC(CC=NN=NCNc1ccc(N(C)PC)cc1)=NC#N
out_201_EGFR.pdbqt,-6.9,NC(NCc1ccccc1)=C1CN=CN=C1NC1=CC(Cl)=CC1
out_202_EGFR.pdbqt,-6.7,Cc1ccccc1CNC1=CN(C2C=CC=C2Cl)C=NC=NNN1
out_203_EGFR.pdbqt,-7.9,NC1=C=C(Cl)N(C2C=CN3CC(=NN3c3ccccc3)N=C2)C=C1
out_204_EGFR.pdbqt,-6.9,NS-1(NCc2ccccc2)=CC(N=CN=CNc2cccc(Cl)c2)=N1
out_1001_EGFR.pdbqt,-7.0,OCOC1=CN=C2C=NCC3=C2C=CNC=CC=C1C3C(F)(F)F
out_1002_EGFR.pdbqt,-7.8,N#Cc1cnc2c(c1NCC=CC=C(O)F)C=S-C=C2
out_1003_EGFR.pdbqt,-9.0,C=CC(N=CBr)C(=CC)NC=CC=C(F)CC(F)(F)F
out_1004_EGFR.pdbqt,-8.0,COc1ccc2c(Nc3ccc(F)c(C(F)(F)F)c3)c(OCC#N)cnc2c1
out_1005_EGFR.pdbqt,-8.5,N#CC=C(NO)C(=CC=CNC1C=CC=C(F)C1)CO
out_1006_EGFR.pdbqt,-8.4,COC1=CCN=CC(=C=CNNC=CC=C(F)CC(F)CF)C=C1OC
out_1007_EGFR.pdbqt,-8.7,C=C(C=CC=CNC1=C2C=C(O)CC(OC)=CC2=NC=S1C#N)C(F)(F)F
out_1008_EGFR.pdbqt,-8.6,C=C1C=C(NC=c2c(C#N)cnc3c2=CPC(OCOCC)=C3)C1C(F)(F)F
out_1009_EGFR.pdbqt,-8.5,CCC1=CCN(O)C(C=NC=C(CC(C=CF)C=C(F)F)NCF)=C1OC
out_1010_EGFR.pdbqt,-9.6,CCC1=CC2=NC=C(NC)N(C(F)=CC=C(N)CC(F)=P-F)C2C=C1OC
out_1011_EGFR.pdbqt,-6.8,FC1=CC=C(CC=CC(F)F)N=C=c2c(cnc3c2=CS-C=C3)C1
out_1012_EGFR.pdbqt,-8.0,N#CC1=CC2C=C(CO)C3=CC=CN1C2C=C(CF)C(F)=CC=C3
out_1013_EGFR.pdbqt,-8.5,COC(C=Cc1cnccc1NCC=C(C)C(F)(F)F)=CC#N
out_1014_EGFR.pdbqt,-9.1,COc1cc2ncc(C#N)c(N3CC3=CC=C(F)CC(F)(F)F)c2cc1OC
out_1015_EGFR.pdbqt,-8.4,B#Cc1cncc(C#N)c1Nc1ccc(F)c(C(F)(F)F)c1
out_1016_EGFR.pdbqt,-8.5,CCNC(F)CC=CNCC(=CN=CC=C(CC)c1cc(O)co1)NC
out_1018_EGFR.pdbqt,-8.0,C=C(CF)C(F)=CC=CNc1c(C#N)cnc2cc(OC)c(OC)cc12
out_1019_EGFR.pdbqt,-8.5,COC1=CN=CC2C3=C(C#N)C(C4=C(Br)C=CN(C4)S1)C2O3
out_1020_EGFR.pdbqt,-9.3,CC#CC(Br)=C1CNC(CC#N)C(OC)=CN=CC=CCO1
out_1021_EGFR.pdbqt,-8.5,C#CC=C(C)CC12C=C(OC)C(OC)=CC1=NC=C2C#N
out_1022_EGFR.pdbqt,-8.6,COC=C1C(CN)=Cc2c1ncc(C#N)c2-c1cccc(Br)c1C
out_1023_EGFR.pdbqt,-7.8,CC(=COCO)c1cncc(C#N)c1Nc1cccc(Br)c1C
out_1024_EGFR.pdbqt,-9.0,CC=CC=CNOCOC1C2C=CC=CC=C(CBr)C21C#N
out_1025_EGFR.pdbqt,-7.2,COC1=Cc2c(ccnc2C#N)NCC(C=CCBr)C1OC
out_1026_EGFR.pdbqt,-8.0,CC=C(Br)C=CC=CNC1(OCOC)CC=CC2=NCC21C#N
out_1027_EGFR.pdbqt,-8.0,BC=C(C=CC=CNCC1(C#N)C=CN=C2C=C(O)C(OC)=CC21)CBr
out_1028_EGFR.pdbqt,-8.4,COC1=CCC(=NC=C(C#N)N-Nc2cccc(Br)c2C)C=C1OC
out_1029_EGFR.pdbqt,-7.9,N#CC1=CN=CN2COC(=CC3=C1Nc1cccc(Br)c1C3)C2
out_1030_EGFR.pdbqt,-7.7,COC(=CC=NC=C(C#N)CN1C=CC=CC1CBr)C(C=CCN)ON
out_1031_EGFR.pdbqt,-8.1,COc1cc2ncc(C#N)c(NC3C(C)C3O)c2cc1OC
out_1032_EGFR.pdbqt,-6.7,COC1=Cc2cc(c(C#N)cn2)N1c1cccc(Br)c1C
out_1033_EGFR.pdbqt,-8.4,C=C(OC#N)C(OC)c1cncc(C)c1Nc1cccc(Br)c1C
out_1034_EGFR.pdbqt,-8.5,CCC=C(Br)C=CC=NC(C#N)=C1C=C(OC)C(OC)=CC1=NC
out_1035_EGFR.pdbqt,-6.9,COC1=CCC(=NCCNc2cccc(Br)c2C)C(C#N)=C1OC
out_1036_EGFR.pdbqt,-7.0,COCC(O)C=Cc1cncc(C#N)c1Nc1cccc(Br)c1C
out_1037_EGFR.pdbqt,-8.0,Cc1c(Br)cccc1NC1=C(C=CCOCOCC#N)B=C=C1
out_1038_EGFR.pdbqt,-9.4,COc1cc2c(cc1OC)=NC=C(C#N)C(N)c1cccc(Br)c1C=2
out_1039_EGFR.pdbqt,-8.3,COC1=CCC(=C(C#CCN)Nc2ccc(Br)c(C)c2)NC=C1OC
out_1040_EGFR.pdbqt,-7.8,COc1cc2ncc(C#N)c(C3=CC=C(Br)CC=C3)c2cc1OC
out_1041_EGFR.pdbqt,-8.3,C=C(OC)C(=CC1=NCN=C(CS)C1Nc1ccc(Br)c(C)c1)OC
out_1042_EGFR.pdbqt,-7.6,C=C(OC)C(=CNC#Cc1cc(NSCC=NC)ccc1Br)OSN-C
out_1043_EGFR.pdbqt,-8.9,COc1ccncc1C(CNC=CC=C(C)Br)=S=CC=CO
out_1044_EGFR.pdbqt,-8.3,COC1=C(C=NC=C(C#N)CNc2ccc(Br)c(C)c2)NCC=C1O
out_1045_EGFR.pdbqt,-8.1,CC=CCC-C1=C(C)CC=C(OC)COC=NC=C1C#N
out_1046_EGFR.pdbqt,-7.9,COc1cc2ncc(C#N)c(C3C=CCC(Br)=C3)c2cc1OC
out_1047_EGFR.pdbqt,-7.9,COC1=CC=NC=C(CNc2ccc(Cl)c(S)c2)C=C1OCC#N
out_1048_EGFR.pdbqt,-7.6,C=NC#CN=C(C=CNC(C=CC)C=CBr)C=C(OC)C(=C)OC
out_1049_EGFR.pdbqt,-7.5,COC=C1CC(COC)=C(c2cc(C)c(Br)cc2C)C(NN)N1
out_1052_EGFR.pdbqt,-8.6,CC=CC1=C2C=C=PNC(C#N)=CN=CC(C=C1)C=CP2C=CO
out_1053_EGFR.pdbqt,-7.5,C=CC(=Cc1cncc(C#N)c1Nc1ccc(Br)c(C)c1)COC
out_1054_EGFR.pdbqt,-8.1,COC1(C(=C=N)C#N)CC=COCC=Cc2cc(Br)c(C)cc2N1
out_1055_EGFR.pdbqt,-8.1,CCC1=CC=C2Nc3ccc(Br)c(C)c3C1C=CC=NC=C2N
out_1056_EGFR.pdbqt,-8.5,CC=C1C(Br)=CC=C1NC=C1C=C(OC)C(OC)=CC1=NC=C=CC#N
out_1057_EGFR.pdbqt,-7.7,COC1=C2CC=NC1=NC=C(C#N)C2=CNc1cccc(N)c1
out_1058_EGFR.pdbqt,-7.8,C=COC1=CC2=NC=C(C#N)N(C3C=CC(NC(C)=O)=C3)C2=C=C1OC
out_1059_EGFR.pdbqt,-7.6,COC1=CCN2CC=CN=CC=C(C1)c1ccc(NC(C)=O)cc12
out_1061_EGFR.pdbqt,-6.9,COC1=CC2C(C=NC=C(C#N)C1)C2N1CC=C(NCC=O)CC1
out_1063_EGFR.pdbqt,-10.4,COc1cc2ncc(C#N)c(-c3cc(NC(C)=O)ccc3O)c2cc1C
out_1064_EGFR.pdbqt,-9.7,CN=CC1C2=CC1=C(C#N)C2NCC=C(C=C=COC)NC(C)=O
out_1065_EGFR.pdbqt,-9.4,CC(=O)Nc1cccc2c1C(C)=CC=NC=C(C#N)CN2
out_1066_EGFR.pdbqt,-8.4,COC(=CSN)C(=Cc1cncc(C#N)c1-c1cccc(NC(C)=O)c1)OC
out_1067_EGFR.pdbqt,-8.4,CCC(=CC=NC=C(C#N)C(Br)N1C=C(NC(C)=O)C=CC1O)CO
out_1068_EGFR.pdbqt,-8.5,COc1cc2ncc(C#N)c(NC=CF)c2cc1OC
out_1069_EGFR.pdbqt,-9.6,COCC=CC(=CNC1C2=CC(=NC1C#N)C=C2OC)NC(C)=O
out_1070_EGFR.pdbqt,-10.3,COC1=CC2=NCCN(c3cccc(NC(C)=O)c3)C2C=C1OC
out_1071_EGFR.pdbqt,-9.3,C=CC1C=C(NC=CC=CCC(C)=O)C(C-C)=NCN=CC=C1SC
out_1072_EGFR.pdbqt,-8.0,COCB1CC2=C(NCCN-NC(C)=O)C(C#N)=CCC12
out_1074_EGFR.pdbqt,-8.7,COc1cc2ncc(C#N)c(C3C=CC(NC(C)=O)=C3N)c2cc1OC
out_1075_EGFR.pdbqt,-7.8,COC1=Cc2ncc(C)c(Nc3cccc(NC(C)=O)c3)c2C=C(O)C1
out_1076_EGFR.pdbqt,-10.1,COC1=CC2=NCOC(NCP-C)=CCNC2C=CC1
out_1077_EGFR.pdbqt,-7.5,CCCC1=CC=CN2C(C#N)=CC(C=C1OC)C1=CC(Br)C2=C1
out_1079_EGFR.pdbqt,-7.1,C#CC=CNc1c(C#N)cnc(C=CC2CCOC2)c1C
out_1080_EGFR.pdbqt,-7.8,CCCC1=CC=CNC2=CC(=CC2Br)C(C=C=O)C=C1OC
out_1081_EGFR.pdbqt,-8.2,CC1=CCN(NC=C2C=C(C#N)C-CC3=CC2=C=CC3)C1Br
out_1082_EGFR.pdbqt,-7.9,C#CC=CC=CNC(C=COC(=C)C)(COCC)C(C#N)=CN
out_1083_EGFR.pdbqt,-7.5,C=C1N=c2ccc(OCC)cc2=C1Nc1cccc(Br)c1
out_1084_EGFR.pdbqt,-7.5,CCOC1=CC2C(=NC=C(C#N)N2Sc2cccc(Br)c2)C=C1OO
out_1085_EGFR.pdbqt,-7.0,CCOc1cc2c(Nc3cccc(N)c3)c(C#N)cnc2cc1OC
out_1086_EGFR.pdbqt,-8.7,COc1cc2ncc(S#N)c(NCC=CC=C=P-C)c2cc1CO
out_1087_EGFR.pdbqt,-8.1,CC=Cc1c(C#N)cnc2cc(OC)c(OCC)cc12
out_1088_EGFR.pdbqt,-7.0,COC1=CC(=NN=C=CCOCC#N)C(=CNc2cccc(Br)c2)C=C1
out_1089_EGFR.pdbqt,-8.1,C=C(OC)C(C=C=NC=C(C#N)CNc1cccc(Br)c1)OCC
out_1090_EGFR.pdbqt,-8.1,CCOC1=CC2C(=NCN=C=CN2c2cccc(Br)c2)C=C1OC
out_1091_EGFR.pdbqt,-9.0,BCOC1C=C2CC1=C(c1cccc(Br)c1)C(NC)=CN2
out_1094_EGFR.pdbqt,-9.4,N#CCC1=CC=C(N2C=CC(O)=CC2)CCN=CC#CC1
out_1095_EGFR.pdbqt,-8.2,CCSc1cc2c(Nc3ccccc3)c(C#N)cnc2cc1OC
out_1096_EGFR.pdbqt,-8.6,CCOC1=C=C(Nc2cccc(Br)c2)C(=NC=CCC#N)C=C1OC
out_1097_EGFR.pdbqt,-8.1,CCC=CC=CNc1c(NC)cnc2c1C(OC)=C(OCC)OC2
out_1098_EGFR.pdbqt,-8.4,CCOC1=C2CC(=C(c3cccc(Br)c3O)C(C#N)N2)C=C1C
out_1100_EGFR.pdbqt,-7.2,CC=CNC1=CCC(OCC)C(=N)C=Cc2cccc(Br)c21
out_1101_EGFR.pdbqt,-8.5,C=CSC=C(OC)C(OCC)c1cc(NC2=CC(Br)=C2)c(NC)cn1
out_1102_EGFR.pdbqt,-7.3,CCOc1cc2ncc(C#N)c(N3C=C=CC=C3)c2cc1OC
out_1103_EGFR.pdbqt,-7.6,C#CC=CC(=C)Nc1c(C#N)cnc2c1C=CC(O)C(OCC)=C2
out_1104_EGFR.pdbqt,-7.9,COCC(=Cc1c(C)ncc(C#N)c1NC1=CC=S-C(Br)=C1)OC
out_1105_EGFR.pdbqt,-8.5,CCOc1cc2ncc(C#P)c(NC3C=CC(C-Br)=C3)c2cc1OC
out_1106_EGFR.pdbqt,-7.6,CCC=CC=Cc1c(Nc2cccc(Br)c2)ccnc1C#N
out_1107_EGFR.pdbqt,-8.4,C#CN1C=CC(Br)SPC=C(OC)C(OCC)=CNc2cc1c(CF)cn2
out_1108_EGFR.pdbqt,-7.8,CC=CC(Br)=CCNc1c(C#N)cnc2cc(OCC)c(OC)cc12
out_1109_EGFR.pdbqt,-8.4,CCOc1cc2ncc(C#N)c(NCBr)c2cc1OC
out_1110_EGFR.pdbqt,-7.6,CCOC1=Cc2ncc(C#N)c(Nc3cccc(Br)c3)c2CN1OC
out_1111_EGFR.pdbqt,-7.7,CCOc1cc2ncc(C#N)c(NC3=CCC(Br)=C3)c2cc1OC
out_1113_EGFR.pdbqt,-8.1,CP-OC1=CC2(C=CC1O)C=NC=C(C#N)C2Nc1cccc(Br)c1
out_1114_EGFR.pdbqt,-8.3,CCc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2c-c1OC
out_1115_EGFR.pdbqt,-8.7,CCOC=CC=NC=C(C#N)CC=COCN1CC=CC(Br)C1
out_1116_EGFR.pdbqt,-7.5,CCOC1=CC2=CC(C)=CC(=C1OC)c1cncc(C#N)c12
out_1117_EGFR.pdbqt,-7.6,N#CC1=CN=C2C=CC1(O)C2=CNc1cccc(Br)c1
out_1118_EGFR.pdbqt,-8.7,C=C1OCCOC1=CC(N)C=C(C#N)c1cccc(Br)c1C
out_1120_EGFR.pdbqt,-8.1,N#Cc1cnc2cc3c(cc2c1NC1=CC=CC1Br)OCCO3
out_1121_EGFR.pdbqt,-7.5,CC1=CCN(C2=C3OCCOC3=CC3=NC=C(C#N)C32)C1Br
out_1122_EGFR.pdbqt,-8.2,NC1=CN=C2C=C3OCCOC3=CC2N(c2cccc(Br)c2)C1
out_1125_EGFR.pdbqt,-7.7,N#Cc1c(CC2=C(Br)B-C=CC2)cc2nc1C(N)(CC=O)C=C2
out_1126_EGFR.pdbqt,-8.2,C=CC=C(CBr)PN1CC(N=C)N=C2C=C3OCCOC3=CC21
out_1127_EGFR.pdbqt,-7.3,C=C1OCCOC1=CC1=C(CNc2cccc(Br)c2)S(C#N)=CN=C1
out_1129_EGFR.pdbqt,-8.7,N=C1C(OCCO)=PCC2=C=CC1NCC=C(Br)C=CC2
out_1131_EGFR.pdbqt,-6.7,C=C(C#N)C(=CC(=N)C=C1OCCOC1=C=N)Nc1cccc(Br)c1
out_1132_EGFR.pdbqt,-8.3,C=CC(=C=CN)C1=c2cc3c(cc2=NCN=C1C)OCCO3
out_1134_EGFR.pdbqt,-8.4,N-C1=C2C(N)N=C3C=C(C=C4OCCOC4=CP-3)NC(=C1)C2Br
out_1135_EGFR.pdbqt,-7.2,C=P1=COCCS-1OCc1cncc(C#N)c1Nc1cccc(Br)c1
out_1136_EGFR.pdbqt,-7.5,N#Cc1cnc2cc3c(cc2c1NC=CC=CCP-CBr)OCCO3
out_1137_EGFR.pdbqt,-8.1,Cc1=c-n=c2cc3c(cc2=c-n-c2cc-1c2)OCCON3
