Formula,FW,DSSTox_CID,SR-HSE,SMILES,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
C8H5Cl3O,223.4837,6190,,O=C(CCl)c1ccc(Cl)cc1Cl,,1,,,,,,,,,
C29H44O12,584.6525,23765,0,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,,,,,,,,,,,
C17H38BrN,336.3943 (256.4898+79.9045),24367,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],,1,,,,,,,,,
C22H40BrNO,414.4631 (334.5586+79.9045),13468,,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],0,,,,,,,,,,
C21H38BrN,384.4371 (304.5326+79.9045),13307,,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],,1,,,,,,,,,
C25H30ClN3,407.9788 (372.5253+35.4535),653,1,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],,,,,,,,,,,
C33H34N4O6,582.6463,120,,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,,1,,,,,,,,,
C18H14Cl4N4O4,492.1402 (63.0128+429.1273),25943,1,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O,,,,,,,,,,,
C22H27NO2,337.4553,2880,0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,,,,,,,,,,,
C23H25F7N4O3,538.4584,28973,,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,0,,,,,,,,,
C20H14NO4,332.3289,25204,1,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,,,,,,,,,,,
C14H24N2O3,268.3520 (207.2689+61.0831),25583,1,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,,,,,,,,,,,
C26H29N3O6,479.525,3363,1,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,,,,,,,,,,,
C35H40Cl2N4O6,683.6213 (610.6994+36.4609+36.4609),796,0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1.Cl.Cl,,,,,,,,,,,
C20H24ClNS,345.9293 (309.4683+36.4609),25359,0,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1.Cl,,,,,,,,,,,
C17H17ClF6N2O,414.7731 (378.3122+36.4609),27796,0,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,,,,,,,,,,,
C28H28ClNO4S,510.0442 (473.5833+36.4609),14181,0,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,,,,,,,,,,,
C6H12N2S3,208.3679,1333,1,CN(C)C(=S)SC(=S)N(C)C,,,,,,,,,,,
C6H12N2S4,240.4329,1332,1,CN(C)C(=S)SSC(=S)N(C)C,,,,,,,,,,,
C17H19ClN2S,318.8642,2808,0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,,,,,,,,,,,
C28H31FN4O,458.5703,110,,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,0,,,,,,,,,,
C21H22N2O7,414.4086,31625,0,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C[C@H]3C[C@@H]12,,,,,,,,,,,
C18H23N3O5,361.3923 (253.2991+90.0779+18.0153),26274,1,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1.O,,,,,,,,,,,
C34H41N7O5,627.7332,31470,0,CCCCCCOC(=O)/N=C(/N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,,,,,,,,,,,
C47H74O19,943.0791,2897,0,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1,,,,,,,,,,,
C41H64O13,764.9391,2933,0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,,,,,,,,,,,
C30H42O8,530.6497,3532,0,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,,,,,,,,,,,
C11H8O2,172.18,1715,,CC1=CC(=O)c2ccccc2C1=O,,1,,,,,,,,,
C13H8Br3NO2,449.9201,6181,1,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,,,,,,,,,,,
C22H16O6,376.3588,26101,0,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,,,,,,,,,,,
C20H44BrN,378.4741 (298.5695+79.9045),21759,,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],,1,,,,,,,,,
C27H42ClNO2,448.0809 (412.6273+35.4535),3810,,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],,1,,,,,,,,,
C28H44ClNO2,462.1075 (426.6539+35.4535),15708,,Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C.[Cl-],,1,,,,,,,,,
C18H16Cl3N3O3S,460.7619 (397.7491+63.0128),25490,1,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,,,,,,,,,,,
C25H25N3O5,447.4831,31491,1,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C,,,,,,,,,,,
C25H29I2NO3,645.3116,2592,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,,0,,,,,,,,,
C29H40Cl2FN3O3,568.5506 (495.6287+36.4609+36.4609),24204,0,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl,,,,,,,,,,,
C21H27ClN2S2,407.0355 (370.5745+36.4609),29360,,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl,0,,,,,,,,,,
C13H30ClNO2,267.8358 (231.3749+36.4609),26529,0,CCCCCCCCCCOCC(O)CN.Cl,,,,,,,,,,,
C16H13Cl3N2OS,387.7112,26619,1,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,,,,,,,,,,,
C25H30ClNO5,459.9624 (343.8902+116.0722),27765,0,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O,,,,,,,,,,,
C21H26N2S2,370.5745,3656,0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,,,,,,,,,,,
C37H38N2O6,606.7074,25957,0,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,,,,,,,,,,,
C23H25F3N2OS,434.5176,26310,0,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,,,,,,,,,,,
C24H26ClFN4O,440.9408,28893,0,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,,,,,,,,,,,
C14H9ClN2O3S,320.7509,26104,0,NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21,,,,,,,,,,,
C22H40O7,416.5488,26705,,CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O,,0,,,,,,,,,
C26H33FN4O7,532.5612 (398.4738+134.0874),26492,0,CCN(CC)CCNC(=O)C1C(C)=NC(/C=C2\C(=O)Nc3ccc(F)cc32)=C1C.O=C(O)CC(O)C(=O)O,,,,,,,,,,,
C26H24N6O4S,516.5716 (209.2465+209.2465+98.0785),23777,0,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,,,,,,,,,,,
C11H10O2,174.1959,3247,1,Cc1cc(O)c2ccccc2c1O,,,,,,,,,,,
C14H11NO5,273.2408,3685,0,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,,,,,,,,,,,
C10H8O3,176.1687,5670,,Cc1cc(=O)oc2cc(O)ccc12,,0,,,,,,,,,
C19H42BrN,364.4475 (284.5429+79.9045),17028,0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],,,,,,,,,,,
C23H46ClNO2,404.0698 (18.0153+35.4535+18.0153+332.5857),26606,0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O.[Cl-],,,,,,,,,,,
C25H25IN2,480.3839 (126.9050+353.4789),26576,,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[I-],,1,,,,,,,,,
C19H18Cl3N3O3S,474.7885 (411.7757+63.0128),25452,1,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O,,,,,,,,,,,
C25H32O2,364.5204,26553,0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,,,,,,,,,,,
C36H50O6,578.7786,31414,0,CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,,,,,,,,,
C22H18N2,310.3917,25631,1,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,,,,,,,,,,,
C32H38N2O5,530.6545 (470.6026+60.0520),28583,,CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,,0,,,,,,,,,
C30H62O10,582.8073,19721,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,1,,,,,,,,,
C30H32Cl3NO,528.9402,26663,0,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,,,,,,,,,,,
C20H24N2O2S,356.4818,3128,0,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,,,,,,,,,,,
C20H25ClN2OS,376.9433 (340.4824+36.4609),25187,0,CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.Cl,,,,,,,,,,,
C21H29Cl2N3,394.3811 (321.4592+36.4609+36.4609),25681,0,C[C@@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@H](C)N1.Cl.Cl,,,,,,,,,,,
C21H26Cl2F3N3S,480.4174 (407.4956+36.4609+36.4609),25085,0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl,,,,,,,,,,,
C22H23ClFN3O2S,447.9533 (411.4924+36.4609),22592,1,Cl.O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,,,,,,,,,,,
C7H4ClNOS,185.6308,31598,1,O=c1[nH]sc2cc(Cl)ccc12,,,,,,,,,,,
C22H23ClN2O2,382.8832,3224,,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,,1,,,,,,,,,
C18H14Cl4N2O,416.1286,25447,1,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,,,,,,,,,,,
C18H18ClNS,315.8602,2810,0,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,,,,,,,,,,,
C19H24N2,280.4073,23881,0,CN(C)CCCN1c2ccccc2CCc2ccccc21,,,,,,,,,,,
C43H58N4O12,822.9402,1244,0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,,,,,,,,,,,
C21H22F3N3OS,421.4791,26180,0,CN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,,,,,,,,,,,
C28H31FN4O,458.5703,110,0,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,,,,,,,,,,,
C20H14ClN3O3S,411.8615,26738,,O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21,,1,,,,,,,,,
C28H32ClN3O8S,606.0870 (373.9427+116.0722+116.0722),28941,0,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,,,,,,,,,,,
C24H28O2,348.4779,20619,1,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,,,,,,,,,,,
C25H22N4O4,442.4666,31542,1,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N/Nc1cccc(-c2cccc(C(=O)O)c2)c1O,,,,,,,,,,,
C46H56N4O10,824.9576,12278,0,CC[C@]1(O)C[C@H]2C[N@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,,,,,,,,,,,
C21H32O3,332.477,3794,,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,,1,,,,,,,,,
C9H5Cl2NO,214.0481,2801,1,Oc1c(Cl)cc(Cl)c2cccnc12,,,,,,,,,,,
C33H38N2O8,590.6634,31604,0,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2ccc(O)c(OC)c2)[C@@H]1OC,,,,,,,,,,,
C17H17NO2,267.3224,2614,,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,,1,,,,,,,,,
C32H37NO12,627.6357,26755,0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1,,,,,,,,,,,
C21H26ClN3OS,403.9686,3441,0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,,,,,,,,,,,
C9H6N2O3,190.1555,26284,1,O=[N+]([O-])c1ccc(O)c2ncccc12,,,,,,,,,,,
C18H16Cl3N3O4,444.6963 (63.0128+381.6835),5226,1,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,,,,,,,,,,,
C20H28O,284.4357,1478,,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,,1,,,,,,,,,
C21H46NO4P,407.568,25942,0,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,,,,,,,,,,,
C20H17Cl3N2O2,423.7202,31607,1,C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,,,,,,,,,,,
C23H31NO3,369.4971,26922,,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,,0,,,,,,,,,
C22H26ClN7O2S,488.0055,20979,0,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,,,,,,,,,,,
C25H34N2O3,410.5491,25958,0,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,,,,,,,,,,,
C20H25NOS,327.4836,3660,,CCN(CC)CCSC(=O)C(c1ccccc1)c1ccccc1,,0,,,,,,,,,
C22H25ClN2O8,480.8955 (444.4346+36.4609),25405,0,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl,,,,,,,,,,,
C22H25ClN2O8,480.8955 (36.4609+444.4346),1321,0,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl,,,,,,,,,,,
C7H7ClF3NS,229.6504 (193.1894+36.4609),31681,1,Cl.Nc1cc(C(F)(F)F)ccc1S,,,,,,,,,,,
C22H28ClN3O4,433.9284 (397.4675+36.4609),25324,0,Cl.O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,,,,,,,,,,,
C24H29ClN2O5,460.9505 (424.4895+36.4609),25922,1,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl,,,,,,,,,,,
C13H6Cl6O2,406.9035,690,1,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,,,,,,,,,,,
C19H11Cl2I2NO3,626.0105,26227,1,O=C(Nc1ccc(Oc2ccc(Cl)cc2)c(Cl)c1)c1cc(I)cc(I)c1O,,,,,,,,,,,
C12H7Cl3O2,289.5418,12498,1,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,,,,,,,,,,,
C13H9Cl3N2O,315.5824,6214,0,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,,,,,,,,,,,
C23H31Cl2NO3,440.4031,26458,0,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,,,,,,,,,,,
C18H19ClN4,326.8233,2855,0,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,,,,,,,,,,,
C18H23NO,269.3813,25663,0,CNCCCCOc1ccccc1Cc1ccccc1,,,,,,,,,,,
C29H40N2O4,480.6389,2980,0,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,,,,,,,,,,,
C15H18N4O5,334.3272,898,0,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,,,,,,,,,,,
C20H22N8O5,454.4393,822,0,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,,,,,,,,,,,
C53H66N4O20,1079.1059 (778.9323+150.0868+150.0868),27802,0,CCC1=C[C@@H]2C[N@](C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2.O=C(O)C(O)C(O)C(=O)O.O=C(O)C(O)C(O)C(=O)O,,,,,,,,,,,
C17H20O6,320.3371,21070,0,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,,,,,,,,,,,
C17H17ClO6,352.7663,674,0,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,,,,,,,,,,,
C15H23NO4,281.3474,4882,0,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,,,,,,,,,,,
C21H21ClN4OS,412.9356,3753,,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,,0,,,,,,,,,
C27H30N4O,426.5533,25181,0,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,,,,,,,,,,,
C24H28N2O3,392.4907,25176,0,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,,,,,,,,,,,
C10H7Br2NO,316.9767,26235,1,Cc1ccc2c(Br)cc(Br)c(O)c2n1,,,,,,,,,,,
C12H6Cl4O3S,372.0512,26225,1,O=S(c1cc(Cl)cc(Cl)c1O)c1cc(Cl)cc(Cl)c1O,,,,,,,,,,,
C26H29NO2,387.514,2384,,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0,,1,,,,,,,,
C66H68CaF2N4O10,1155.3417 (557.6324+557.6324+40.0769),24303,0,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2],,,,,,,,,,,
C15H9BrO2,301.1348,26244,0,O=C1c2ccccc2C(=O)C1c1ccc(Br)cc1,,,,,,,,,,,
C24H34O4,386.5244,5527,0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,,,,,,,,,,,
C21H32O2,316.4776,16541,0,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,,,,,,,,,,
C20H25N3O,323.432,7522,0,CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1,,,,,,,,,,,
C25H38O5,418.5662,3581,,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,,1,,,,,,,,,
C37H48N6O5S2,720.9442,28553,0,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,,,,,,,,,,,
C16H16N2O3S,316.3748,28576,0,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,,,,,,,,,,,
C24H34N2O,366.5396,2663,0,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,,,,,,,,,,,
C23H30O3,354.4825,3036,1,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,,,,,,,,,,,
C24H27NO2,361.4767,5299,0,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,,,,,,,,,,,
