DSSTox_CID,SMILES,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD,SR-HSE
24590,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,0,0,0,0,0,0,0,0,0,0,0,0
3174,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,0,0,0,0,0,0,0,0,0,0,0,0
362,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0,0,0,0,0,0,0,0,0,0,0,0
14607,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1.Cl.Cl,0,0,0,0,0,0,0,0,0,0,0,0
28810,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1.Cl,0,0,0,0,0,0,0,0,0,0,0,0
2114,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,0,0,0,0,0,0,0,0,0,0,0,0
20420,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0,0,0,0,0,0,0,0,0,0,0,0
4925,CN(C)C(=S)SC(=S)N(C)C,0,0,0,0,0,0,0,0,0,0,0,0
26644,CN(C)C(=S)SSC(=S)N(C)C,0,0,0,0,0,0,0,0,0,0,0,0
3843,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0,0,0,0,0,0,0,0,0,0,0,0
7040,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C[C@H]3C[C@@H]12,0,0,0,0,0,0,0,0,0,0,0,0
5742,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1.O,0,0,0,0,0,0,0,0,0,0,0,0
25327,CCCCCCOC(=O)/N=C(/N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,0,0,0,0,0,0,0,0,0,0,0,0
22203,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1,0,0,0,0,0,0,0,0,0,0,0,0
9163,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0,0,0,0,0,0,0,0,0,0,0,0
2661,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,0,0,0,0,0,0,0,0,0,0,0,0
886,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,0,0,0,0,0,0,0,0,0,0,0,0
18798,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,0,0,0,0,0,0,0,0,0,0,0,0
13558,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,0,0,0,0,0,0,0,0,0,0,0,0
11127,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C,0,0,0,0,0,0,0,0,0,0,0,0
27120,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl,0,0,0,0,0,0,0,0,0,0,0,0
29148,CCCCCCCCCCOCC(O)CN.Cl,0,0,0,0,0,0,0,0,0,0,0,0
16668,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,0,0,0,0,0,0,0,0,0,0,0,0
27910,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
1800,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,0,0,0,0,0,0,0,0,0,0,0,0
24276,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,0,0,0,0,0,0,0,0,0,0,0,0
5333,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0,0,0,0,0,0,0,0,0,0,0,0
7342,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,0,0,0,0,0,0,0,0,0,0,0,0
4150,NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21,0,0,0,0,0,0,0,0,0,0,0,0
24879,CCN(CC)CCNC(=O)C1C(C)=NC(/C=C2\C(=O)Nc3ccc(F)cc32)=C1C.O=C(O)CC(O)C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
21423,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,0,0,0,0,0,0,0,0,0,0,0,0
11865,Cc1cc(O)c2ccccc2c1O,0,0,0,0,0,0,0,0,0,0,0,0
19,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,0,0,0,0,0,0,0,0,0,0,0,0
15618,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0,0,0,0,0,0,0,0,0,0,0,0
14094,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O.[Cl-],0,0,0,0,0,0,0,0,0,0,0,0
26303,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O,0,0,0,0,0,0,0,0,0,0,0,0
3511,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,0,0,0,0,0,0,0,0,0,0,0,0
590,CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0,0,0,0,0,0,0,0,0,0,0,0
6685,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,0,0,0,0,0,0,0,0,0,0,0,0
20730,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,0,0,0,0,0,0,0,0,0,0,0,0
23752,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,0,0,0,0,0,0,0,0,0,0,0,0
1610,CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.Cl,0,0,0,0,0,0,0,0,0,0,0,0
10608,C[C@@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@H](C)N1.Cl.Cl,0,0,0,0,0,0,0,0,0,0,0,0
15006,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl,0,0,0,0,0,0,0,0,0,0,0,0
2409,Cl.O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,0,0,0,0,0,0,0,0,0,0,0,0
6258,O=c1[nH]sc2cc(Cl)ccc12,0,0,0,0,0,0,0,0,0,0,0,0
25632,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,0,0,0,0,0,0,0,0,0,0,0,0
28559,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,0,0,0,0,0,0,0,0,0,0,0,0
29375,CN(C)CCCN1c2ccccc2CCc2ccccc21,0,0,0,0,0,0,0,0,0,0,0,0
7590,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0,0,0,0,0,0,0,0,0,0,0,0
21860,CN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0,0,0,0,0,0,0,0,0,0,0,0
13101,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,0,0,0,0,0,0,0,0,0,0,0,0
2976,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
31461,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0,0,0,0,0,0,0,0,0,0,0,0
1125,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N/Nc1cccc(-c2cccc(C(=O)O)c2)c1O,0,0,0,0,0,0,0,0,0,0,0,0
21264,CC[C@]1(O)C[C@H]2C[N@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0,0,0,0,0,0,0,0,0,0,0,0
20235,Oc1c(Cl)cc(Cl)c2cccnc12,0,0,0,0,0,0,0,0,0,0,0,0
11475,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2ccc(O)c(OC)c2)[C@@H]1OC,0,0,0,0,0,0,0,0,0,0,0,0
6170,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1,0,0,0,0,0,0,0,0,0,0,0,0
22599,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0,0,0,0,0,0,0,0,0,0,0,0
28173,O=[N+]([O-])c1ccc(O)c2ncccc12,0,0,0,0,0,0,0,0,0,0,0,0
1953,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,0,0,0,0,0,0,0,0,0,0,0,0
25196,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,0,0,0,0,0,0,0,0,0,0,0,0
4658,C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,0,0,0,0,0,0,0,0,0,0,0,0
27431,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0,0,0,0,0,0,0,0,0,0,0,0
249,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,0,0,0,0,0,0,0,0,0,0,0,0
17262,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl,0,0,0,0,0,0,0,0,0,0,0,0
5103,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl,0,0,0,0,0,0,0,0,0,0,0,0
26488,Cl.Nc1cc(C(F)(F)F)ccc1S,0,0,0,0,0,0,0,0,0,0,0,0
5560,Cl.O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
26909,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl,0,0,0,0,0,0,0,0,0,0,0,0
9551,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,0,0,0,0,0,0,0,0,0,0,0,0
4238,O=C(Nc1ccc(Oc2ccc(Cl)cc2)c(Cl)c1)c1cc(I)cc(I)c1O,0,0,0,0,0,0,0,0,0,0,0,0
6879,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,0,0,0,0,0,0,0,0,0,0,0,0
24434,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,0,0,0,0,0,0,0,0,0,0,0,0
12318,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0,0,0,0,0,0,0,0,0,0,0,0
725,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0,0,0,0,0,0,0,0,0,0,0,0
1415,CNCCCCOc1ccccc1Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
27279,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,0,0,0,0,0,0,0,0,0,0,0,0
16436,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,0,0,0,0,0,0,0,0,0,0,0,0
5928,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0,0,0,0,0,0,0,0,0,0,0,0
22004,CCC1=C[C@@H]2C[N@](C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2.O=C(O)C(O)C(O)C(=O)O.O=C(O)C(O)C(O)C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
6553,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,0,0,0,0,0,0,0,0,0,0,0,0
27669,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0,0,0,0,0,0,0,0,0,0,0,0
26033,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,0,0,0,0,0,0,0,0,0,0,0,0
3613,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,0,0,0,0,0,0,0,0,0,0,0,0
8670,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,0,0,0,0,0,0,0,0,0,0,0,0
24726,Cc1ccc2c(Br)cc(Br)c(O)c2n1,0,0,0,0,0,0,0,0,0,0,0,0
132,O=S(c1cc(Cl)cc(Cl)c1O)c1cc(Cl)cc(Cl)c1O,0,0,0,0,0,0,0,0,0,0,0,0
9335,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2],0,0,0,0,0,0,0,0,0,0,0,0
3356,O=C1c2ccccc2C(=O)C1c1ccc(Br)cc1,0,0,0,0,0,0,0,0,0,0,0,0
14369,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0,0,0,0,0,0,0,0,0,0,0,0
7194,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0,0,0,0,0,0,0,0,0,0,0
10310,CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1,0,0,0,0,0,0,0,0,0,0,0,0
467,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0,0,0,0,0,0,0,0,0,0,0,0
2844,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
3937,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,0,0,0,0,0,0,0,0,0,0,0,0
28979,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,0,0,0,0,0,0,0,0,0,0,0,0
17626,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
25522,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,0,0,0,0,0,0,0,0,0,0,0,0
22348,CCC(CN)=C(c1ccccc1)c1ccccc1.Cl,0,0,0,0,0,0,0,0,0,0,0,0
15172,Cl.Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,0,0,0,0,0,0,0,0,0,0,0,0
24959,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1.Cl,0,0,0,0,0,0,0,0,0,0,0,0
2522,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,0,0,0,0,0,0,0,0,0,0,0,0
3679,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
21130,Cc1c(C)n(CCN(C)C)c2ccc(C(=O)OCCN(C)C)cc12,0,0,0,0,0,0,0,0,0,0,0,0
19688,Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)OCCN(C)C)cc12,0,0,0,0,0,0,0,0,0,0,0,0
4319,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,0,0,0,0,0,0,0,0,0,0,0,0
8011,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0,0,0,0,0,0,0,0,0,0,0,0
18319,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)CC3OC1CC(N2CCOC(OC)C2)C(O)C(C)O1,0,0,0,0,0,0,0,0,0,0,0,0
26182,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0,0,0,0,0,0,0,0,0,0,0,0
29303,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
7495,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,0,0,0,0,0,0,0,0,0,0,0,0
25699,Cc1nc2n(c(=O)c1CCN1CCC(C(=O)c3ccc(F)cc3)CC1)CCS2,0,0,0,0,0,0,0,0,0,0,0,0
12898,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,0,0,0,0,0,0,0,0,0,0,0,0
27767,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
13387,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0,0,0,0,0,0,0,0,0,0,0,0
23995,CN1Cc2cc(C(=O)N3CCC(C4CCNCC4)CC3)ccc2N[C@@H](CC(=O)O)C1=O,0,0,0,0,0,0,0,0,0,0,0,0
5012,O=C(CCCCCCC(=O)Nc1ccccc1)NO,0,0,0,0,0,0,0,0,0,0,0,0
12122,Nc1ccc(C(=O)Nc2ccccc2N)cc1,0,0,0,0,0,0,0,0,0,0,0,0
14828,C[C@@H](CN(C)C)CN1c2ccccc2Sc2ccccc21.C[C@@H](CN(C)C)CN1c2ccccc2Sc2ccccc21.O=C(O)[C@@H](O)[C@@H](O)C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
4817,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,0,0,0,0,0,0,0,0,0,0,0,0
2260,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
12634,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,0,0,0,0,0,0,0,0,0,0,0,0
4052,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,0,0,0,0,0,0,0,0,0,0,0,0
28744,CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32,0,0,0,0,0,0,0,0,0,0,0,0
26767,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,0,0,0,0,0,0,0,0,0,0,0,0
10169,CC1(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)OCc2ccccc2-n2cccc21,0,0,0,0,0,0,0,0,0,0,0,0
9675,C[C@@]12C(=O)OC(=O)[C@]1(C)C1CCC2O1,0,0,0,0,0,0,0,0,0,0,0,0
13841,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0,0,0,0,0,0,0,0,0,0,0,0
26986,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl.O=S(=O)(O)O,0,0,0,0,0,0,0,0,0,0,0,0
5214,CC[C@]1(O)C[C@@H]2C[N@@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,0,0,0,0,0,0,0,0,0,0,0,0
968,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,0,0,0,0,0,0,0,0,0,0,0,0
31535,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,0,0,0,0,0,0,0,0,0,0,0,0
5457,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,0,0,0,0,0,0,0,0,0,0,0,0
6052,Oc1ccc(Cl)cc1Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
24353,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+],0,0,0,0,0,0,0,0,0,0,0,0
10777,Oc1c(Br)cc(Br)cc1Br,0,0,0,0,0,0,0,0,0,0,0,0
28607,CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1,0,0,0,0,0,0,0,0,0,0,0,0
843,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,0,0,0,0,0,0,0,0,0,0,0,0
17101,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0,0,0,0,0,0,0,0,0,0,0,0
20118,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0,0,0,0,0,0,0,0,0,0,0,0
1488,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,0,0,0,0,0,0,0,0,0,0,0,0
30037,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0
1216,CC(C)CCCC(C)N,0,0,0,0,0,0,0,0,0,0,0,0
1875,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,0,0,0,0,0,0,0,0,0,0,0,0
31402,CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,0,0,0,0,0,0,0,0,0,0,0,0
