,DSSTox_CID,SR-p53,SMILES
13,7047,0.0,CN(C)C(=S)SSC(=S)N(C)C
14,12318,0.0,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2
15,2127,0.0,CCN(CC)CCOc1ccc(Cc2ccccc2)cc1
16,26767,0.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl
17,10698,0.0,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12.Cl
18,20696,0.0,IC(I)=C(I)I
19,4073,0.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
20,14769,0.0,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1
21,7733,0.0,C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21
22,18755,0.0,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4
23,5500,0.0,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
24,22392,0.0,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
25,9321,0.0,N#Cc1nc(Cl)c(Cl)c(Cl)c1Cl
26,26257,0.0,Cc1cc(=O)oc2cc(N(C)C)ccc12
27,2613,0.0,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
28,25254,0.0,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
29,24434,0.0,N#Cc1c2ccccc2cc2ccccc12
30,969,0.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
31,1725,0.0,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
32,27180,0.0,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
33,29375,0.0,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-]
34,21202,0.0,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O
35,4453,0.0,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
36,3722,0.0,CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl
37,28683,0.0,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
38,16436,0.0,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=CC23CCCN2CCc2cc4c(cc2[C@H]13)OCO4
39,5890,0.0,CO[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C
40,11458,0.0,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
41,17507,0.0,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O
42,78,0.0,CO[C@@H]1[C@H](O)C[C@@H](O[C@@H]2C[C@H](Oc3cc4cc5c(c(O)c4c(O)c3C)C(=O)[C@@H](O[C@H]3C[C@@H](O[C@H]4C[C@@H](O[C@H]6C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O6)[C@H](O)[C@@H](C)O4)[C@H](O)[C@@H](C)O3)[C@H]([C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)C5)O[C@H](C)[C@@H]2OC(=O)O)O[C@@H]1C
43,606,0.0,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1.Cl
44,14095,0.0,CCOC(=O)Oc1c(OC)cc(C(=O)O[C@@H]2C[C@@H]3CN4CCc5c([nH]c6cc(OC)ccc56)[C@H]4C[C@@H]3[C@H](C(=O)OC)[C@H]2OC)cc1OC
45,20234,0.0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
46,7438,0.0,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
47,24129,0.0,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1
48,28149,0.0,CC(C)N(C(=O)CCl)c1ccccc1
49,9696,0.0,CC/N=c1/cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C.Cl
50,6722,0.0,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-]
51,12626,0.0,OB(O)O[Hg]c1ccccc1
52,5301,0.0,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(Br)cc(Br)c1O
53,25495,0.0,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-]
54,3009,0.0,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O
55,27433,0.0,Oc1ccc([Hg]Cl)cc1
56,6256,0.0,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
57,26447,0.0,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
58,21916,0.0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1
59,1980,0.0,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1
60,27911,0.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
61,15148,0.0,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O
62,25974,0.0,[Cl-].[Cl-].[Hg+2]
63,24941,0.0,CN(C)C(=S)SC(=S)N(C)C
64,29100,0.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
65,1191,0.0,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
66,21443,0.0,CCCCCCCCn1sccc1=O
67,7235,0.0,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O
68,2478,0.0,Oc1ccc(C2(c3ccc(O)cc3)c3ccccc3-c3ccccc32)cc1
69,7926,0.0,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-]
70,9120,0.0,CC1(S(=O)(=O)[O-])CC(=O)c2ccccc2C1=O.[Na+]
71,13173,0.0,O=[N+]([O-])/C=C/c1ccccc1
72,28506,0.0,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
73,5075,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C
74,1518,0.0,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1.Cl
75,190,0.0,Cl.Nc1c2ccccc2nc2ccccc12.O
76,713,0.0,CCOC(=O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1
77,23923,0.0,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
78,12029,0.0,O=C(Oc1cccc2cccnc12)c1ccccc1
79,7548,0.0,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
80,4657,0.0,CC1=CC(=O)c2ccccc2C1=O
81,14516,0.0,CC[C@]1(O)C[C@H]2C[N@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O
82,4235,0.0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
83,5729,0.0,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2]
84,9871,0.0,CN(C)C(=S)[S-].CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Fe+3]
85,3526,0.0,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+]
86,22230,0.0,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
87,15768,0.0,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
88,29807,0.0,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1
89,27036,0.0,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
90,24583,0.0,NC(=O)N1C(=O)C(C(=O)c2cc(Cl)cs2)c2cc(F)c(Cl)cc21
91,10310,0.0,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
92,1878,0.0,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
93,3870,0.0,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
94,2825,0.0,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
95,6061,0.0,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5COC(c6cccs6)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O
96,26171,0.0,O=C(O)CN(CC(=O)O)CC1=CC2C(=CC1=O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21
97,26550,0.0,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
98,3157,0.0,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)C1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1
99,22580,0.0,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)C1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1
100,27533,0.0,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O
101,511,0.0,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F
102,28806,0.0,C[C@]12Cc3nonc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
103,2313,0.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
104,24211,0.0,N#Cc1cc(I)c(O)c(I)c1
105,6848,0.0,N#Cc1cc(Br)c(O)c(Br)c1
106,820,0.0,Clc1ccc2cc3ccccc3cc2c1
107,25118,0.0,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O
108,1643,0.0,CC[Hg]Sc1ccccc1C(=O)[O-].[Na+]
109,17757,0.0,CC(C)Nc1ccc(Nc2ccccc2)cc1
110,25559,0.0,Nc1ccc2cc3ccccc3cc2c1
111,1128,0.0,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[I-]
112,22059,0.0,O.O.O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[Na+].[Na+]
113,27333,0.0,[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-]
114,6613,0.0,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1.Cl
115,10955,0.0,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl
116,308,0.0,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl
117,25379,0.0,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
118,1414,0.0,CCCC1([C@H](O)C/C=C/[C@H]2[C@H](O)CC(=O)[C@@H]2CCCCCCC(=O)OC)CCC1
119,14331,0.0,O=C(CCl)c1ccc(Cl)cc1Cl
120,20486,0.0,O=C(CCl)c1ccc(Cl)cc1Cl
121,26913,0.0,CC[C@@H](C(=O)O)[C@@H]1O[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@]3(C=C[C@@H](O)[C@]4(CC[C@@](C)([C@H]5CC[C@](O)(CC)[C@H](C)O5)O4)O3)[C@H](C)C[C@@H]2C)[C@@H](C)C[C@@H]1C
122,14953,0.0,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21
123,13907,0.0,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)C[C@H]3O[C@]132
124,18319,0.0,O=Nc1ccc(Nc2ccccc2)cc1
125,4771,0.0,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
126,20131,0.0,S=C(SSC(=S)N1CCCCC1)N1CCCCC1
127,12879,0.0,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Br-]
128,25647,0.0,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(N)c2c1O.[Na+].[Na+].[Na+].[Na+]
129,15291,0.0,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2]
130,5637,0.0,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
131,29275,0.0,CC(O)C(=O)O[Hg]c1ccccc1
132,16291,0.0,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1
133,4327,0.0,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl
134,27791,0.0,CN1CCN2c3ccccc3Cc3ccccc3C2C1
135,26654,0.0,N#CSCSC#N
136,21615,0.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
137,7305,0.0,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)C(CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)[C@@H](O)C[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
138,4981,0.0,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
139,25861,0.0,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
140,12493,0.0,Oc1c(Cl)cc(Cl)c2cccnc12
141,9234,0.0,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
142,17033,0.0,O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[K+].[K+]
143,6185,0.0,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+]
144,24858,0.0,CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)[O-])O3)O2)O1.[Na+]
145,21127,0.0,O=[N+]([O-])c1ccc(Oc2ccc(N=C=S)cc2)cc1
146,15484,0.0,CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
147,3975,0.0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
148,3615,0.0,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
149,1805,0.0,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
150,21319,0.0,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](C(C)C)NC1=O
151,5175,0.0,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
152,6920,0.0,CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CCOC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)CC1)NC(=O)c1ccccc1
153,26015,0.0,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC.Cl
154,23753,0.0,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
155,2684,0.0,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
156,24654,0.0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
157,9610,0.0,Nc1ccc2cc3ccccc3cc2c1
158,16673,0.0,CCCCCCCC(=O)CC[C@@H]1[C@@H](C/C=C\CCCC(=O)OC(C)C)[C@@H](O)C[C@H]1O
159,6508,0.0,NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21
160,28564,0.0,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
161,26095,0.0,CC1(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)OCc2ccccc2-n2cccc21
162,8030,0.0,C[C@@]12C(=O)OC(=O)[C@]1(C)C1CCC2O1
163,7626,0.0,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
164,10138,0.0,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
165,3378,0.0,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Br-]
166,4514,0.0,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Br-]
167,5807,0.0,O=S(=O)([O-])c1ccccc1C=Cc1ccc(-c2ccc(C=Cc3ccccc3S(=O)(=O)[O-])cc2)cc1.[Na+].[Na+]
168,3246,0.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
169,7836,0.0,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
170,11368,0.0,CC(C)CC(C)N(c1ccccc1)c1ccc(N)cc1
171,24377,0.0,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1
172,13672,0.0,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
173,2411,0.0,CCCSc1cc(OC)c(CCN)cc1OC.Cl
174,19719,0.0,Cl.Nc1c2ccccc2nc2ccccc12.O
175,1248,0.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl
176,861,0.0,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC
177,18811,0.0,COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O
178,26350,0.0,Nc1nc2nc[nH]c2c(=S)[nH]1
179,13387,0.0,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1
180,25186,0.0,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
181,27272,0.0,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1
182,11129,0.0,CC[C@]1(O)C[C@@H]2C[N@@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O
183,27094,0.0,O=C([O-])C[C@H](O)CC(O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2]
184,21523,0.0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1
185,657,0.0,C(=Cc1ccncc1)c1ccccc1
186,10605,0.0,CC(=O)O[Hg]c1ccccc1
187,2911,0.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
188,442,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1
