,DSSTox_CID,NR-ER-LBD,SMILES
17,25895,0.0,CC(C)CC(C)Nc1ccc(Nc2ccccc2)cc1
18,24216,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
19,22199,0.0,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
20,19688,0.0,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1
21,6511,0.0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
22,799,0.0,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
23,29139,0.0,C[C@@H]1CC[C@@]2(OC1)O[C@H]1[C@@H](O)[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C
24,9121,0.0,CCP(CC)(CC)=[Au]S[C@H]1O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
25,15609,0.0,CC(=O)O.CC(=O)O.N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
26,20665,0.0,CCCCCCCCCCCCN(CCO)CCO
27,3554,0.0,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
28,13255,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-]
29,10605,0.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
30,26349,0.0,CCN(CC)C(=S)SSC(=S)N(CC)CC
31,7838,0.0,CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3.Cl
32,24687,0.0,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1.Cl
33,4663,0.0,COc1cccc2c1[C@@H]1CN(CCCCn3c(=O)[nH]c4c(sc5ncc(-c6ccccc6)nc54)c3=O)C[C@@H]1CO2.Cl
34,18810,0.0,Oc1ccc([Hg]Cl)cc1
35,2553,0.0,CN(C)C(=S)SSC(=S)N(C)C
36,25533,0.0,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2
37,27257,0.0,Oc1cc2ccccc2c2ccccc12
38,6857,0.0,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-]
39,27884,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
40,14960,0.0,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-]
41,1750,0.0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
42,17187,0.0,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
43,11478,0.0,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1
44,1032,0.0,CCN(CC)CCOc1ccc(-c2nc3cc(Cl)ccc3s2)cc1.Cl
45,21760,0.0,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1.Cl
46,5492,0.0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl
47,20458,0.0,CCN(CC)C(=O)c1cc(S(=O)(=O)Cc2ccccc2)c(N2CCC(c3ccccc3)CC2)cc1N(CC)CCN(C)C.O=C(O)C(F)(F)F
48,618,0.0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
49,6240,0.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
50,4352,0.0,COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
51,12662,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
52,26107,0.0,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+]
53,28809,0.0,C=C[C@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O
54,29337,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1
55,22629,0.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl
56,16291,0.0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
57,24438,0.0,IC(I)=C(I)I
58,3832,0.0,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1
59,23874,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-]
60,116,0.0,CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(C(=O)OC[C@H](COC(=O)N(Cc2cccc[n+]2CC)C(=O)c2ccccc2OC)OC)CC1.[Cl-]
61,3321,0.0,C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1
62,28168,0.0,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4
63,13896,0.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
64,7439,0.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
65,27082,0.0,N#Cc1nc(Cl)c(Cl)c(Cl)c1Cl
66,26500,0.0,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
67,24877,0.0,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
68,21198,0.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
69,1213,0.0,C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
70,7142,0.0,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1
71,4845,0.0,COc1cc(C=C2CCCC(=Cc3ccc(O)c(OC)c3)C2=O)ccc1O
72,2805,0.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
73,463,0.0,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O
74,20284,0.0,N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1
75,5260,0.0,CN(C)C(=S)SSC(=S)N(C)C
76,9676,0.0,O=[N+]([O-])c1cc(I)c(O)c(I)c1
77,9335,0.0,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
78,7594,0.0,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=CC23CCCN2CCc2cc4c(cc2[C@H]13)OCO4
79,2250,0.0,CO[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C
80,25646,0.0,CCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
81,30037,0.0,[Hg+2].[I-].[I-]
82,1861,0.0,CC(=O)O[Hg]c1ccccc1
83,28963,0.0,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1
84,25387,0.0,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
85,27660,0.0,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
86,7983,0.0,CCOC(=O)Oc1c(OC)cc(C(=O)O[C@@H]2C[C@@H]3CN4CCc5c([nH]c6cc(OC)ccc56)[C@H]4C[C@@H]3[C@H](C(=O)OC)[C@H]2OC)cc1OC
87,1601,0.0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
88,14673,0.0,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1
89,11956,0.0,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
90,5663,0.0,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
91,11117,0.0,CCCC[Sn](Cl)(Cl)CCCC
92,22421,0.0,CC/N=c1/cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C.Cl
93,21968,0.0,CCCCCCCCCCCCCC[n+]1ccc(C)cc1.[Cl-]
94,21417,0.0,CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21.[Cl-]
95,10258,0.0,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl
96,25749,0.0,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O
97,15291,0.0,OB(O)O[Hg]c1ccccc1
98,6092,0.0,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(Br)cc(Br)c1O
99,25191,0.0,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21
100,3193,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
101,8684,0.0,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-]
102,13555,0.0,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+]
103,4562,0.0,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O
104,26231,0.0,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
105,13033,0.0,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
106,16782,0.0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1
107,12519,0.0,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O
108,1144,0.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
109,3686,0.0,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O
110,6711,0.0,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
111,364,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
112,4926,0.0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O.[Cl-]
113,18319,0.0,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1
114,1292,0.0,Cc1cc(O)c2c(c1)O[C@@]1(C)CC[C@H]3C(C)(C)CCCC34CO[C@@H]2[C@H]41
115,6989,0.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl
116,24568,0.0,Clc1cc(Cl)c(OCC#CI)cc1Cl
117,21523,0.0,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
118,28685,0.0,CN(C)C(=S)SC(=S)N(C)C
119,26612,0.0,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
120,965,0.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
121,4457,0.0,C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C
122,2709,0.0,O=C(Nc1ncc([N+](=O)[O-])s1)c1cccs1
123,14086,0.0,CCCCCCCCCCCCN1CCCCCC1=O
124,27412,0.0,CCCCCCCCCCCCCCN(CCO)CCO
125,26001,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
126,26920,0.0,CCCCCCCCCCCC[N+](C)(C)C.[Cl-]
127,9224,0.0,O=[N+]([O-])/C=C/c1ccccc1
128,24949,0.0,C/C(=C\c1ccccc1)[N+](=O)[O-]
129,688,0.0,CCC(C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@H](NC(C)=O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
130,20131,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C
131,3974,0.0,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1.Cl
132,5756,0.0,CCOC(=O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1
133,4241,0.0,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
134,24790,0.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
135,1486,0.0,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O
136,5347,0.0,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
137,2417,0.0,Nc1ccc(N)c2ccccc12
138,1935,0.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
139,10774,0.0,O=C(Oc1cccc2cccnc12)c1ccccc1
140,3425,0.0,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
141,18,0.0,CC(=O)NC1(c2cccc(F)c2)CCN(CC[C@@]2(c3ccc(Cl)c(Cl)c3)CN(c3ccccc3)C(=O)CO2)CC1.O=C(O)CCC(=O)O
142,17754,0.0,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2]
143,21620,0.0,CN(C)C(=S)[S-].CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Fe+3]
144,7256,0.0,NC(=O)c1nc(-c2cccc(-c3cc(F)ccc3OCC(F)(F)C(F)(F)F)c2)n[n-]1.O.[K+]
145,14235,0.0,[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-]
146,27191,0.0,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1
147,27849,0.0,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
148,25311,0.0,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C2OC2C[C@@H](C)OC(=O)C[C@H]1OC(C)=O
149,2911,0.0,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
150,26698,0.0,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1.Cl
151,24385,0.0,O=S1(=O)CC(Cl)(Cl)C(Cl)(Cl)C1
152,28532,0.0,CN(C)C(=S)SC(=S)N(C)C
153,28890,0.0,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1
154,543,0.0,NC(=O)N1C(=O)C(C(=O)c2cc(Cl)cs2)c2cc(F)c(Cl)cc21
155,29807,0.0,O=C1OC2(c3ccc([O-])cc3Oc3cc([O-])ccc32)c2ccccc21.[Na+].[Na+]
156,6614,0.0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
157,879,0.0,CCCCCCC(C)Nc1ccc(Nc2ccccc2)cc1
158,6350,0.0,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
159,22073,0.0,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5COC(c6cccs6)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O
160,26396,0.0,O=C(O)CN(CC(=O)O)CC1=CC2C(=CC1=O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21
161,14528,0.0,CCCCC(CC)COC(=O)c1ccc(O)cc1
162,17031,0.0,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1
163,4164,0.0,N#C[Au-]C#N.[K+]
164,2188,0.0,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)C1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1
165,10419,0.0,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)C1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1
166,20784,0.0,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl
167,7732,0.0,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O
168,12898,0.0,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O
169,5563,0.0,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC
170,4730,0.0,Cl[Au](Cl)Cl
171,7502,0.0,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
172,1816,0.0,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)CC2S(=O)(=O)C1(C)C
173,27765,0.0,CCCC[Sn](Cl)(Cl)CCCC
174,5976,0.0,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
175,14875,0.0,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O
176,26871,0.0,CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl
177,13393,0.0,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-]
178,21905,0.0,CC[Hg]Sc1ccccc1C(=O)[O-].[Na+]
179,20979,0.0,CC(C)Nc1ccc(Nc2ccccc2)cc1
180,19336,0.0,Cl.O=C1CSC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)N1
181,29275,0.0,N#CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
182,22363,0.0,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
183,11368,0.0,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[I-]
184,6184,0.0,O.O.O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[Na+].[Na+]
185,10169,0.0,[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-]
186,26151,0.0,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O
187,3595,0.0,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
188,21262,0.0,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
189,12145,0.0,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1.Cl
190,23711,0.0,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl
191,25690,0.0,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
192,3105,0.0,O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl
193,9540,0.0,CS(=O)(=O)O.Cc1cc(CCN2CCN(c3nsc4ccccc34)CC2)cc2c1NC(=O)CC2(C)C
194,27367,0.0,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
195,5004,0.0,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
196,2003,0.0,CC[C@@H](C(=O)O)[C@@H]1O[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@]3(C=C[C@@H](O)[C@]4(CC[C@@](C)([C@H]5CC[C@](O)(CC)[C@H](C)O5)O4)O3)[C@H](C)C[C@@H]2C)[C@@H](C)C[C@@H]1C
