,DSSTox_CID,NR-ER,SMILES
23,27553,0.0,CCCCCCCCCCCCCCN(CCO)CCO
24,1974,0.0,O=[N+]([O-])/C=C/c1ccccc1
25,843,0.0,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
26,7830,0.0,Cl.Nc1c2ccccc2nc2ccccc12.O
27,22323,0.0,CC[C@]1(O)C[C@H]2C[N@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O
28,4666,0.0,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+]
29,13869,0.0,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1
30,17272,0.0,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
31,3719,0.0,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
32,5813,0.0,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1.Cl
33,28967,0.0,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
34,9106,0.0,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
35,20794,0.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
36,26713,0.0,O=C1OC2(c3ccc([O-])cc3Oc3cc([O-])ccc32)c2ccccc21.[Na+].[Na+]
37,6780,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
38,24917,0.0,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1
39,1102,0.0,CCCCC(CC)COC(=O)c1ccc(O)cc1
40,128,0.0,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1
41,21367,0.0,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
42,24022,0.0,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
43,10760,0.0,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O
44,13371,0.0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
45,27944,0.0,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+]
46,7519,0.0,O=C(CCl)c1ccccc1
47,25488,0.0,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)CC2S(=O)(=O)C1(C)C
48,14381,0.0,Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1
49,24724,0.0,CN1CCc2cc3c(cc2C1O)OCO3.Cl
50,15784,0.0,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
51,5079,0.0,Nc1ccc2cc3ccccc3cc2c1
52,1338,0.0,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1.O=C(O)/C=C\C(=O)O
53,4368,0.0,O.O.O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[Na+].[Na+]
54,17748,0.0,CCCC1([C@H](O)C/C=C/[C@H]2[C@H](O)CC(=O)[C@@H]2CCCCCCC(=O)OC)CCC1
55,2903,0.0,O=C(CCl)c1ccc(Cl)cc1Cl
56,28742,0.0,O=C(CCl)c1ccc(Cl)cc1Cl
57,5485,0.0,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)C[C@H]3O[C@]132
58,6501,0.0,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
59,2286,0.0,CCCCCCCCCCCCc1ccc(O)cc1
60,21187,0.0,CCCC[n+]1ccc(C)cc1.[Cl-]
61,11903,0.0,CN(C)C(=O)CCSC(SCCC(=O)[O-])c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+]
62,687,0.0,COc1ccc(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC.Cl.Cl
63,10162,0.0,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1
64,26482,0.0,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl
65,25975,0.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
66,9257,0.0,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
67,6921,0.0,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
68,3492,0.0,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
69,1876,0.0,Oc1ccc(O)cc1
70,21959,0.0,CCCCCCCCCCCCc1ccccc1O
71,4888,0.0,CCCCCCCCOc1ccccc1C(=O)Nc1ccc(C(=O)OCC[N+](C)(CC)CC)cc1.[Br-]
72,252,0.0,O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[K+].[K+]
73,14812,0.0,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+]
74,26881,0.0,CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)[O-])O3)O2)O1.[Na+]
75,6161,0.0,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
76,19657,0.0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
77,27442,0.0,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
78,12355,0.0,CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CCOC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)CC1)NC(=O)c1ccccc1
79,16291,0.0,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC.Cl
80,22441,0.0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
81,20657,0.0,Nc1ccc2cc3ccccc3cc2c1
82,28180,0.0,CCCCCCCC(=O)CC[C@@H]1[C@@H](C/C=C\CCCC(=O)OC(C)C)[C@@H](O)C[C@H]1O
83,25396,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
84,26113,0.0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
85,24317,0.0,O=c1[nH]sc2ccccc12
86,30037,0.0,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
87,3899,0.0,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
88,1629,0.0,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Br-]
89,8006,0.0,O=S(=O)([O-])c1ccccc1C=Cc1ccc(-c2ccc(C=Cc3ccccc3S(=O)(=O)[O-])cc2)cc1.[Na+].[Na+]
90,29111,0.0,C=CC(=O)OCC(O)COc1ccccc1
91,27762,0.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
92,12879,0.0,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
93,21528,0.0,Cl.Nc1c2ccccc2nc2ccccc12.O
94,17485,0.0,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC
95,25618,0.0,Nc1nc2nc[nH]c2c(=S)[nH]1
96,11089,0.0,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
97,15269,0.0,O=C([O-])C[C@H](O)CC(O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2]
98,27062,0.0,Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1.O=[N+]([O-])O
99,552,0.0,C/C(=C\c1csc(C)n1)C1C[C@@H]2O[C@]2(C)CCC[C@H](C)C(O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
100,22191,0.0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
101,5637,0.0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl
102,14669,0.0,CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21
103,3046,0.0,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
104,4450,0.0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
105,7107,0.0,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1
106,3311,0.0,C[C@@H]1CC[C@H]2[C@@H](C)C(OC(=O)CCC(=O)O)OC3O[C@@]4(C)CC[C@@H]1C32OO4
107,2543,0.0,O=C(O)Cn1c2ccccc2c(=O)c2ccccc21
108,962,0.0,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)c(F)c3)nc2C)ccc1OCC(=O)O
109,2174,0.0,O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1
110,3608,0.0,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1
111,8726,0.0,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1OP(=O)(O)O
112,27304,0.0,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O
113,24621,0.0,CC(C)CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
114,7313,0.0,Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1
115,6666,0.0,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
116,23905,0.0,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
117,1760,0.0,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
118,6059,0.0,CCCOc1ccc2[nH]c(NC(=O)OC)nc2c1
119,1162,0.0,O=C1c2ccccc2C(=O)N1SC1CCCCC1
120,4262,0.0,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1
121,28660,0.0,OCC(S)CS
122,22619,0.0,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34
123,9848,0.0,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
124,27658,0.0,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
125,21850,0.0,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+]
126,1442,0.0,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1
127,26350,0.0,O=C(CCl)CCl
128,2796,0.0,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
129,24805,0.0,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12
130,29807,0.0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OCOC(=O)[C@@H]1N2C(=O)C[C@H]2S(=O)(=O)C1(C)C.Cc1ccc(S(=O)(=O)O)cc1
131,23,0.0,O=C(O)c1cc(/N=N/c2ccc([N+](=O)[O-])cc2)ccc1O
132,20464,0.0,Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1
133,13173,0.0,CCOC(=O)c1ccccc1C(=C1C=C(Br)C(=O)C(Br)=C1)c1cc(Br)c(O)c(Br)c1
134,14252,0.0,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
135,10603,0.0,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr
136,4995,0.0,C[C@H]1CC[C@@H]2[C@@H](C)[C@H]3[C@H](C[C@H]4[C@@H]5CC=C6CC(O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@H]7O[C@@H](C)[C@H](O)[C@@H](O)[C@H]7O)CC[C@]6(C)[C@H]5CC[C@]34C)N2C1
137,7458,0.0,CCCCCCCCC(CCCCCC)C(=O)O
138,25006,0.0,CC(C)(c1ccccc1)c1ccc(Nc2ccc(C(C)(C)c3ccccc3)cc2)cc1
139,7584,0.0,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1
140,4032,0.0,CCCCCCCCCC(CC)c1ccc(S(=O)(=O)O)cc1
141,17023,0.0,CCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
142,348,0.0,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
143,28848,0.0,O=C(OCC(COC(=O)c1ccccc1)(COC(=O)c1ccccc1)COC(=O)c1ccccc1)c1ccccc1
144,12549,0.0,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
145,25877,0.0,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
146,26574,0.0,CC(C)(C)c1cc(O)ccc1O
147,4770,0.0,CCc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2.Cl
148,13493,0.0,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
149,24225,0.0,COc1ccc(C2NC(=S)N3C(c4ccc(OC)c(OC)c4)NC(=S)N23)cc1OC
150,18821,0.0,CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
151,17582,0.0,CCCCCCCCCCCCc1ccccc1O
152,20112,0.0,CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)[O-])O3)O2)O1.[Na+]
153,27824,0.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
154,2411,0.0,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
155,18319,0.0,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
156,12121,0.0,CC(O)C#CC(C)O
157,25291,0.0,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl
158,1276,0.0,CNCCC=C1c2ccccc2CCc2ccccc21.Cl
159,5955,0.0,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
160,15590,0.0,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
161,759,0.0,O=C1C=CC(=O)N1
162,621,0.0,O=c1c(-c2ccccc2)c1-c1ccccc1
163,7769,0.0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
164,9359,0.0,CCCCCCCCCOC(=O)c1ccc(O)cc1
165,28587,0.0,[Cd+2].[Cl-].[Cl-]
166,25691,0.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
167,4195,0.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
168,1378,0.0,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
169,5719,0.0,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
170,24571,0.0,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)/C(=C\C)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O
171,25097,0.0,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
172,10429,0.0,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C
173,5165,0.0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl
174,2037,0.0,Cl[V](Cl)(C1C=CC=C1)C1C=CC=C1
175,21260,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1
176,13983,0.0,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
177,29281,0.0,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
178,7048,0.0,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O
179,1797,0.0,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1
180,20327,0.0,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
181,5309,0.0,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
182,499,0.0,CCCCCCCC/C=C\CCCCCCCC(=O)N(C)CC(=O)O
183,22088,0.0,O=C(O)c1ccccc1O.Oc1cccc2cccnc12
184,911,0.0,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1
185,20703,0.0,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
186,26815,0.0,O1[As]2O[As]3O[As]1O[As](O2)O3
187,25570,0.0,CC(C)(C)CC(C)(C)c1ccc(O)cc1
188,5591,0.0,CC(C)(C)CC(C)(C)c1ccccc1O
189,6423,0.0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
190,220,0.0,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
191,21085,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
192,4508,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
193,23772,0.0,CC1(C)C(/C=C\C=C/C=C\C=C2\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21.[Na+]
194,21439,0.0,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+]
195,3390,0.0,O=[N+]([O-])C=Cc1ccccc1
196,26639,0.0,C=C1C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O
197,13661,0.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
198,14494,0.0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
199,8300,0.0,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O
200,11591,0.0,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
201,8985,0.0,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O.Cl
202,3830,0.0,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
203,26997,0.0,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
204,26178,0.0,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
205,24860,0.0,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
206,7886,0.0,CC(C)(O)c1cnn2c(-c3ccc(F)c(-c4c(F)cccc4C#N)c3)cnc2n1
207,26432,0.0,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1.O
208,9189,0.0,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
209,7201,0.0,O=C(O)CC(O)(CC(=O)O)C(=O)O.Oc1cccc2cccnc12
210,11291,0.0,CCOC(=O)c1cc(-c2ccccc2)nc2ccc(C)cc12
