,DSSTox_CID,NR-AhR,SMILES
17,25675,0.0,COc1ccc2c(c1)OC(C)(C)[C@@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1
18,15283,0.0,O=C1C=CC(=O)N1c1ccccc1
19,27933,0.0,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1
20,4367,0.0,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
21,8979,0.0,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H]([NH2+]C)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.O=C([O-])c1ccccc1
22,18819,0.0,O=C1OC2(c3ccccc31)c1cc(Br)c(O)c(Br)c1Oc1c2cc(Br)c(O)c1Br
23,3036,0.0,Cc1cc(O)c(C(C)(C)C)cc1C(C)(C)C
24,27356,0.0,CCc1cc(Cc2cc(CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
25,1271,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
26,26071,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1
27,22373,0.0,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2
28,236,0.0,CC1(C)CNC(=NN=C(/C=C/c2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1
29,24440,0.0,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl
30,8024,0.0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
31,14616,0.0,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
32,6865,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
33,11356,0.0,CO/N=C1/C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C
34,1943,0.0,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Cl
35,5889,0.0,C/C=C/C(=O)Oc1c(CCCCCC(C)C)cc([N+](=O)[O-])cc1[N+](=O)[O-]
36,4886,0.0,CCCCCCCCCCCCN(CCO)CCO
37,12515,0.0,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
38,28610,0.0,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
39,21270,0.0,CC[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
40,25270,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
41,27066,0.0,COc1cc(-c2nc(NC(=O)c3cc4cc(C)cc(C)c4n3CC(=O)O)sc2CCC2CCCCC2)c(OC)cc1Cl.O=C(O)C(F)(F)F
42,29334,0.0,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
43,4062,0.0,CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCC[Si](OC)(OC)OC.[Cl-]
44,928,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-]
45,10764,0.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
46,16105,0.0,COc1cccc2c1[C@@H]1CN(CCCCn3c(=O)[nH]c4c(sc5ncc(-c6ccccc6)nc54)c3=O)C[C@@H]1CO2.Cl
47,14185,0.0,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
48,9230,0.0,Oc1cc2ccccc2c2ccccc12
49,20132,0.0,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-]
50,27678,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
51,17676,0.0,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-]
52,26474,0.0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
53,24700,0.0,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
54,23821,0.0,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
55,2176,0.0,CCN(CC)CCOc1ccc(-c2nc3cc(Cl)ccc3s2)cc1.Cl
56,13241,0.0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
57,7528,0.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
58,4677,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
59,5570,0.0,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+]
60,22009,0.0,C=C[C@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O
61,6540,0.0,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
62,3373,0.0,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1
63,2815,0.0,CCCCCCCCCCOCC(O)CN.Cl
64,9652,0.0,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
65,7797,0.0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
66,28784,0.0,Cc1cc(F)ccc1-c1cc(N2CC[C@@H](O)[C@H]2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
67,1827,0.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
68,5049,0.0,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1
69,16687,0.0,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1
70,7130,0.0,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
71,378,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-]
72,3820,0.0,CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(C(=O)OC[C@H](COC(=O)N(Cc2cccc[n+]2CC)C(=O)c2ccccc2OC)OC)CC1.[Cl-]
73,25424,0.0,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
74,6145,0.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
75,26914,0.0,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
76,112,0.0,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
77,29129,0.0,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
78,14891,0.0,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
79,26264,0.0,N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N
80,25102,0.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
81,21572,0.0,O=C(N/N=C/c1ccccc1O)c1ccncc1
82,24224,0.0,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1
83,27506,0.0,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
84,25863,0.0,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
85,21111,0.0,COc1cc(C=C2CCCC(=Cc3ccc(O)c(OC)c3)C2=O)ccc1O
86,24564,0.0,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1
87,1159,0.0,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-]
88,6692,0.0,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
89,1457,0.0,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
90,785,0.0,CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl
91,3203,0.0,O=[N+]([O-])c1cc(I)c(O)c(I)c1
92,29806,0.0,Nc1ccc2c3c(cccc13)-c1ccccc1-2
93,10336,0.0,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O
94,22207,0.0,CCCCCCCCCCCCN1CCCC1=O
95,19720,0.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
96,15750,0.0,CCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
97,12818,0.0,CCCCCCCCCCCCn1cc[n+](C)c1.[I-]
98,22512,0.0,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
99,4176,0.0,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
100,499,0.0,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
101,21420,0.0,N#CC(C#N)=NNc1cccc(Cl)c1
102,12355,0.0,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
103,20349,0.0,CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)C[C@H]2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@@H]4C/C(=C/C(=O)OC)C[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3
104,27818,0.0,COC(=O)N(C(=O)N1CO[C@@]2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1
105,28516,0.0,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C
106,2301,0.0,CCCCCCCCCCCCCC[n+]1ccc(C)cc1.[Cl-]
107,6962,0.0,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl
108,8,0.0,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O
109,4524,0.0,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21
110,5664,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
111,27246,0.0,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+]
112,25571,0.0,CN(C[C@@H](CC[N+]12CCC(C3CCCCC3)(CC1)CC2)c1ccc(Cl)c(Cl)c1)C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.CS(=O)(=O)[O-]
113,14386,0.0,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
114,13441,0.0,Oc1ccc([Hg]Cl)cc1
115,28913,0.0,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
116,11127,0.0,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
117,2646,0.0,CCCOC/C(=N\c1ccc(Cl)cc1C(F)(F)F)n1ccnc1
118,11862,0.0,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
119,26755,0.0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1
120,1378,0.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
121,5482,0.0,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
122,5792,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
123,3705,0.0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O.[Cl-]
124,8683,0.0,CO/N=C1/C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C
125,11566,0.0,Cc1cc(O)c2c(c1)O[C@@]1(C)CC[C@H]3C(C)(C)CCCC34CO[C@@H]2[C@H]41
126,16436,0.0,Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1.Cl
127,1771,0.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl
128,2934,0.0,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
129,5149,0.0,Clc1cc(Cl)c(OCC#CI)cc1Cl
130,24029,0.0,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
131,24798,0.0,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
132,24977,0.0,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
133,12615,0.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
134,17546,0.0,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
135,2037,0.0,O=C(Nc1ncc([N+](=O)[O-])s1)c1cccs1
136,21851,0.0,CCCCCCCCn1sccc1=O
137,13995,0.0,CCCCCCCCCCCCN1CCCCCC1=O
138,20682,0.0,CC(C)(C)c1cc(/C=C2\SC(=N)NC2=O)cc(C(C)(C)C)c1O.CS(=O)(=O)O
139,2410,0.0,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O
140,9189,0.0,Oc1ccc(C2(c3ccc(O)cc3)c3ccccc3-c3ccccc32)cc1
141,1642,0.0,CCCCCCCCCCCCCCN(CCO)CCO
142,7200,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
143,26151,0.0,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-]
144,7924,0.0,CC1(S(=O)(=O)[O-])CC(=O)c2ccccc2C1=O.[Na+]
145,1030,0.0,C/C(=C\c1ccccc1)[N+](=O)[O-]
146,3936,0.0,CCC(C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@H](NC(C)=O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
147,7599,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C
148,13054,0.0,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1.Cl
149,26009,0.0,Cl.Nc1c2ccccc2nc2ccccc12.O
150,27148,0.0,CCOC(=O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1
151,3517,0.0,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
152,6030,0.0,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl
153,15486,0.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
154,28719,0.0,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O
155,300,0.0,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
156,27554,0.0,Nc1ccc(N)c2ccccc12
157,25771,0.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
158,24365,0.0,CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1
159,28126,0.0,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
160,19336,0.0,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
161,26549,0.0,CC1=CC(=O)c2ccccc2C1=O
162,25186,0.0,CC(=O)NC1(c2cccc(F)c2)CCN(CC[C@@]2(c3ccc(Cl)c(Cl)c3)CN(c3ccccc3)C(=O)CO2)CC1.O=C(O)CCC(=O)O
163,17044,0.0,Oc1ccc(Cl)cc1Cc1ccccc1
164,10150,0.0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
165,693,0.0,NC(=O)c1nc(-c2cccc(-c3cc(F)ccc3OCC(F)(F)C(F)(F)F)c2)n[n-]1.O.[K+]
166,4302,0.0,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+]
167,7436,0.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
168,10603,0.0,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
169,15151,0.0,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
170,9360,0.0,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
171,25368,0.0,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C2OC2C[C@@H](C)OC(=O)C[C@H]1OC(C)=O
172,4960,0.0,COc1ccc2cc(S(=O)(=O)N[C@H](CC(=O)N[C@H](Cc3ccc(CN4[C@H](C)CCC[C@@H]4C)cc3)C(=O)N(C)C(C)C)c3ccc4c(c3)OCO4)ccc2c1.Cl
173,26358,0.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
174,4837,0.0,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
175,24648,0.0,NC(=O)N1C(=O)C(C(=O)c2cc(Cl)cs2)c2cc(F)c(Cl)cc21
176,22092,0.0,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
177,552,0.0,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
178,27411,0.0,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
179,7264,0.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
180,20481,0.0,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O
181,7042,0.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
182,23909,0.0,O=C1OC2(c3ccc([O-])cc3Oc3cc([O-])ccc32)c2ccccc21.[Na+].[Na+]
183,6444,0.0,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
184,14768,0.0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
185,6647,0.0,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1
186,26818,0.0,CCCCCCCCCCCCN.Cl
187,2731,0.0,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
188,25483,0.0,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
189,6237,0.0,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
190,14494,0.0,O=C(O)CN(CC(=O)O)CC1=CC2C(=CC1=O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21
191,2591,0.0,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21
192,6769,0.0,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
193,16291,0.0,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1
194,22681,0.0,CCCCCCCC/C=C\CCCCCCCCOCCO
195,3151,0.0,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
196,9763,0.0,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl
197,825,0.0,O=C(CCCCCCCCc1cccnc1)N1CCC(C=C(c2ccccc2)c2ccccc2)CC1
198,3318,0.0,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
199,8300,0.0,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
200,1891,0.0,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O
201,25954,0.0,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC
202,4466,0.0,Cl[Au](Cl)Cl
