,DSSTox_CID,NR-AR,SMILES
61,3937,0.0,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
62,17032,0.0,CCCCCCCCCCCC[n+]1ccc2ccccc2c1.Cc1ccc(S(=O)(=O)[O-])cc1
63,28716,0.0,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
64,1599,0.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1.Cl
65,953,0.0,CCCOc1sc(C(=O)N2CCC(c3cc(CN)ccc3F)CC2)c(C)c1Br.Cl
66,10775,0.0,COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1.Cl.Cl
67,24876,0.0,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl
68,20287,0.0,COc1ccc2c(c1)OC(C)(C)[C@@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1
69,27591,0.0,O=C1C=CC(=O)N1c1ccccc1
70,7303,0.0,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1
71,26190,0.0,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
72,25379,0.0,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21
73,5164,0.0,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H]([NH2+]C)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.O=C([O-])c1ccccc1
74,586,0.0,O=C1OC2(c3ccccc31)c1cc(Br)c(O)c(Br)c1Oc1c2cc(Br)c(O)c1Br
75,5667,0.0,Cc1cc(O)c(C(C)(C)C)cc1C(C)(C)C
76,3109,0.0,CCCC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C
77,4401,0.0,CCc1cc(Cc2cc(CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
78,7737,0.0,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C
79,2877,0.0,CC(C)CC(C)Nc1ccc(Nc2ccccc2)cc1
80,26921,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
81,15747,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1
82,13779,0.0,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2
83,18312,0.0,CC1(C)CNC(=NN=C(/C=C/c2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1
84,29137,0.0,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
85,21686,0.0,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl
86,9335,0.0,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1
87,29807,0.0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
88,6311,0.0,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
89,12358,0.0,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
90,20550,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
91,21357,0.0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
92,26559,0.0,CN1C(=O)N(c2ccccc2Br)Cc2cnc(Nc3ccc4c(c3)OCC(CO)O4)nc21
93,14965,0.0,C[C@@H]1CC[C@@]2(OC1)O[C@H]1[C@@H](O)[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C
94,22435,0.0,CCP(CC)(CC)=[Au]S[C@H]1O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
95,25874,0.0,CO/N=C1/C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C
96,16673,0.0,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1.O=S(=O)([O-])O
97,8684,0.0,CC(=O)O.CC(=O)O.N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
98,14374,0.0,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Cl
99,4101,0.0,C/C=C/C(=O)Oc1c(CCCCCC(C)C)cc([N+](=O)[O-])cc1[N+](=O)[O-]
100,11307,0.0,CCCCCCCCCCCCN(CCO)CCO
101,2454,0.0,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
102,5441,0.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
103,17806,0.0,CCC(C)Nc1ccc(NC(C)CC)cc1
104,10055,0.0,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
105,3560,0.0,CC[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
106,12853,0.0,CC[C@]1(O)C[C@H]2C[N@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
107,1262,0.0,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
108,25221,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
109,7185,0.0,CC=O
110,28812,0.0,O=C(Nc1ccc2[nH]ccc2c1)c1cc2cc(F)ccc2n1Cc1cccc(F)c1
111,6652,0.0,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
112,11869,0.0,COc1cc(-c2nc(NC(=O)c3cc4cc(C)cc(C)c4n3CC(=O)O)sc2CCC2CCCCC2)c(OC)cc1Cl.O=C(O)C(F)(F)F
113,2677,0.0,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
114,9876,0.0,CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
115,24396,0.0,CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCC[Si](OC)(OC)OC.[Cl-]
116,22009,0.0,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
117,18688,0.0,c1cnc2c(c1)ccc1cccnc12
118,27868,0.0,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
119,3747,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-]
120,1494,0.0,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-]
121,17187,0.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
122,27108,0.0,CCN(CC)C(=S)SSC(=S)N(CC)CC
123,24984,0.0,CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3.Cl
124,1188,0.0,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1.Cl
125,1929,0.0,COc1cccc2c1[C@@H]1CN(CCCCn3c(=O)[nH]c4c(sc5ncc(-c6ccccc6)nc54)c3=O)C[C@@H]1CO2.Cl
126,19688,0.0,Oc1ccc([Hg]Cl)cc1
127,26305,0.0,CN(C)C(=S)SSC(=S)N(C)C
128,13191,0.0,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2
129,28628,0.0,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
130,5908,0.0,Oc1cc2ccccc2c2ccccc12
131,27266,0.0,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-]
132,5072,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
133,4790,0.0,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-]
134,24769,0.0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
135,27466,0.0,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
136,670,0.0,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
137,2113,0.0,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1
138,3232,0.0,CCN(CC)CCOc1ccc(Cc2ccccc2)cc1
139,21232,0.0,CCN(CC)CCOc1ccc(-c2nc3cc(Cl)ccc3s2)cc1.Cl
140,4508,0.0,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1.Cl
141,27687,0.0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl
142,820,0.0,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
143,25487,0.0,CCN(CC)C(=O)c1cc(S(=O)(=O)Cc2ccccc2)c(N2CCC(c3ccccc3)CC2)cc1N(CC)CCN(C)C.O=C(O)C(F)(F)F
144,10610,0.0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
145,7426,0.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
146,13513,0.0,COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
147,24596,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
148,12699,0.0,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+]
149,14506,0.0,C=C[C@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O
150,250,0.0,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1
151,6911,0.0,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
152,55,0.0,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1
153,16446,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1
154,20131,0.0,CCN(Cc1cccnc1)C(=O)c1cccc(Cl)c1[C@]1(C)C(=O)N(Cc2ccc(OC)cc2OC)c2ccc(Cl)cc21.Cl
155,6221,0.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl
156,11118,0.0,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12.Cl
157,6049,0.0,CCCCCCCCCCOCC(O)CN.Cl
158,545,0.0,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
159,26879,0.0,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1
160,18870,0.0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
161,15485,0.0,Cc1cc(F)ccc1-c1cc(N2CC[C@@H](O)[C@H]2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
162,4961,0.0,IC(I)=C(I)I
163,7636,0.0,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1
164,17700,0.0,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
165,7853,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-]
166,5562,0.0,CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(C(=O)OC[C@H](COC(=O)N(Cc2cccc[n+]2CC)C(=O)c2ccccc2OC)OC)CC1.[Cl-]
167,13998,0.0,C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21
168,3491,0.0,C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1
169,23728,0.0,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4
170,20773,0.0,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
171,1384,0.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
172,1865,0.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
173,2798,0.0,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
174,1647,0.0,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
175,4175,0.0,N#Cc1nc(Cl)c(Cl)c(Cl)c1Cl
176,1046,0.0,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
177,22073,0.0,Cc1cc(=O)oc2cc(N(C)C)ccc12
178,25764,0.0,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
179,9762,0.0,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
180,19336,0.0,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
181,14600,0.0,N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N
182,503,0.0,N#Cc1c2ccccc2cc2ccccc12
183,29365,0.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
184,15291,0.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
185,3883,0.0,C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
186,26072,0.0,O=C(N/N=C/c1ccccc1O)c1ccncc1
187,9200,0.0,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1
188,22325,0.0,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
189,5264,0.0,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
190,4582,0.0,COc1cc(C=C2CCCC(=Cc3ccc(O)c(OC)c3)C2=O)ccc1O
191,26809,0.0,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1
192,338,0.0,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-]
193,7119,0.0,CCNc1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccc(N(CC)CC)cc2)c2ccccc12.[Cl-]
194,877,0.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
195,26608,0.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
196,2309,0.0,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O
197,4339,0.0,CCCC[Sn](Cl)(CCCC)CCCC
198,14298,0.0,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
199,20467,0.0,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
200,28903,0.0,CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl
201,5739,0.0,N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1
202,14857,0.0,CN(C)C(=S)SSC(=S)N(C)C
203,6562,0.0,O=[N+]([O-])c1cc(I)c(O)c(I)c1
204,7246,0.0,Nc1ccc2c3c(cccc13)-c1ccccc1-2
205,21428,0.0,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
206,21594,0.0,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=CC23CCCN2CCc2cc4c(cc2[C@H]13)OCO4
