,DSSTox_CID,NR-PPAR-gamma,SMILES
38,1099,0.0,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
39,29294,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C
40,10183,0.0,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
41,1745,0.0,Oc1ccc(Cl)cc1Cc1ccccc1
42,8002,0.0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
43,22464,0.0,[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-]
44,21684,0.0,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1
45,9685,0.0,C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC
46,26738,0.0,O=S1(=O)CC(Cl)(Cl)C(Cl)(Cl)C1
47,11885,0.0,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O
48,5145,0.0,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1
49,6794,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
50,3997,0.0,C=CC(=O)O[Sn](CCCC)(CCCC)CCCC
51,28860,0.0,CCCCCCCCCCCCN.Cl
52,5645,0.0,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1
53,14555,0.0,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21
54,25126,0.0,CCCC[Sn](CCCC)(CCCC)OC(=O)c1ccccc1
55,27574,0.0,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
56,432,0.0,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O
57,24419,0.0,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O
58,25682,0.0,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1
59,20744,0.0,O=[N+]([O-])c1ccc(O/N=C/c2cc(Br)c(O)c(Br)c2)c([N+](=O)[O-])c1
60,28279,0.0,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl
61,899,0.0,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
62,28674,0.0,CC[Hg]Sc1ccccc1C(=O)[O-].[Na+]
63,10605,0.0,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1.O=C(O)/C=C\C(=O)O
64,6240,0.0,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[I-]
65,15773,0.0,[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-]
66,26120,0.0,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
67,21094,0.0,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
68,2669,0.0,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
69,89,0.0,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl
70,17030,0.0,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
71,1233,0.0,O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl
72,4589,0.0,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)C[C@H]3O[C@]132
73,20001,0.0,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
74,13086,0.0,S=C(SSC(=S)N1CCCCC1)N1CCCCC1
75,11460,0.0,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Br-]
76,4910,0.0,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(N)c2c1O.[Na+].[Na+].[Na+].[Na+]
77,12368,0.0,CC(O)C(=O)O[Hg]c1ccccc1
78,24742,0.0,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1
79,7340,0.0,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
80,21852,0.0,CN1CCN2c3ccccc3Cc3ccccc3C2C1
81,7775,0.0,N#CSCSC#N
82,29134,0.0,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
83,9146,0.0,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)C(CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)[C@@H](O)C[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
84,29853,0.0,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
85,26487,0.0,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
86,3429,0.0,Oc1c(Cl)cc(Cl)c2cccnc12
87,2195,0.0,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
88,5342,0.0,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
89,8684,0.0,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
90,23909,0.0,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](C(C)C)NC1=O
91,27163,0.0,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
92,27847,0.0,CCCCNC(=O)OCC#CI
93,7028,0.0,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
94,3108,0.0,CC(C)(C)c1csc(-c2cc3cc(OCc4ccccc4CC(=O)O)ccc3o2)n1
95,6066,0.0,CCc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2CN2CCN(c3ccc(OC)cc3)CC2)ccc1OCC(=O)O
96,25616,0.0,COC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
97,1648,0.0,C[C@@]12C(=O)OC(=O)[C@]1(C)C1CCC2O1
98,4175,0.0,C=CC(=O)OCC(O)COc1ccccc1
99,15166,0.0,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
100,14311,0.0,CCCC[Sn](Cl)(CCCC)CCCC
101,22265,0.0,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
102,27922,0.0,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
103,27404,0.0,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1
104,18309,0.0,O=C([O-])C[C@H](O)CC(O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2]
105,1510,0.0,Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1.O=[N+]([O-])O
106,1811,0.0,C(=Cc1ccncc1)c1ccccc1
107,790,0.0,CC(=O)O[Hg]c1ccccc1
108,17721,0.0,CCc1cc(Cc2cc(CC)c(N)c(CC)c2)cc(CC)c1N
109,13943,0.0,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
110,339,0.0,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC.Cl
111,6902,0.0,Cl[Hg]c1ccccc1
112,26265,0.0,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1
113,21245,0.0,F[Sn](c1ccccc1)(c1ccccc1)c1ccccc1
114,13332,0.0,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O.COC(N)(CO)CO
115,20131,0.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
116,2521,0.0,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)c(F)c3)nc2C)ccc1OCC(=O)O
117,3825,0.0,Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1
118,601,0.0,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
119,6632,0.0,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1.Cl
120,3592,0.0,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl
121,25338,0.0,CCCOc1ccc2[nH]c(NC(=O)OC)nc2c1
122,14857,0.0,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21
123,5742,0.0,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl.O=S(=O)(O)O
124,20670,0.0,O=C(O)c1ccc([Hg]Cl)cc1
125,26573,0.0,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1
126,4993,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
127,16239,0.0,Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1
128,4426,0.0,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
129,9860,0.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
130,2748,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
131,2109,0.0,O=C(CCl)CCl
132,21604,0.0,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)CC(F)(F)C(=O)N2C
133,15311,0.0,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12.[Na+].[Na+]
134,3013,0.0,CCCC(=O)OC[C@@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H](Cn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21)OC(=O)CCC
135,1166,0.0,Nc1ccc(Nc2ccccc2)cc1
136,26895,0.0,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1
137,7616,0.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
138,19677,0.0,C=CC(OCC)OCC
139,29359,0.0,CC(C=O)Cc1ccc(C(C)(C)C)cc1
140,27073,0.0,O=[N+]([O-])c1cccc2ccccc12
141,24831,0.0,[O-][n+]1ccccc1SSc1cccc[n+]1[O-]
142,17248,0.0,Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N.[Cl-]
143,16727,0.0,O=[N+]([O-])c1ccc(O)c2ncccc12
144,1590,0.0,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl
145,22603,0.0,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
146,24495,0.0,CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1
147,20334,0.0,CCN(CC)C(=S)SSC(=S)N(CC)CC
148,25779,0.0,COc1ccc(C(=O)/C(Br)=C\C(=O)O)cc1
149,24651,0.0,COc1ccc(C2NC(=S)N3C(c4ccc(OC)c(OC)c4)NC(=S)N23)cc1OC
150,28580,0.0,N=C(N)NN=C(C=Cc1ccc([N+](=O)[O-])o1)C=Cc1ccc([N+](=O)[O-])o1
151,12107,0.0,O=C(Nc1ccc(Br)cc1)c1cc(Br)c(Br)s1
152,4082,0.0,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl
153,26045,0.0,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(Br)cc(Br)c1O
154,28765,0.0,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1
155,5831,0.0,CCCCCCCCCCCCc1ccccc1O
156,13690,0.0,[Cl-].[Cl-].[Hg+2]
157,10369,0.0,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21
158,4678,0.0,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1
159,25215,0.0,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
160,27665,0.0,CC(O)C#CC(C)O
161,6322,0.0,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
162,23767,0.0,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
163,2319,0.0,COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1.Cl
164,7255,0.0,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
165,6532,0.0,N#CSCSC#N
166,24228,0.0,Nc1ccc(O)cc1
167,7441,0.0,O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1
168,4495,0.0,O=C1C=CC(=O)N1
169,3199,0.0,O=c1c(-c2ccccc2)c1-c1ccccc1
170,10741,0.0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
171,15570,0.0,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
172,512,0.0,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[n-]2)c1C.[Na+]
173,11295,0.0,CCCCN(CCCC)C(=S)[S-].CCCCN(CCCC)C(=S)[S-].[Zn+2]
174,7877,0.0,O=CC(Br)(Br)Br
175,28164,0.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
176,5267,0.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
177,22352,0.0,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
178,26653,0.0,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
179,25957,0.0,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)/C(=C\C)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O
180,14707,0.0,CCN(CC)CCC(=O)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21
181,21975,0.0,CCCCCCCCn1sc(Cl)c(Cl)c1=O
182,8987,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1
183,146,0.0,CN(C)CCOC(c1ccccc1)c1ccccc1
184,32,0.0,CNC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F
185,18845,0.0,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F
186,24983,0.0,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
187,10055,0.0,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
188,5566,0.0,NCc1cccc(C2CCN(C(=O)c3ccc(C#Cc4ccccc4F)o3)CC2)c1
189,3506,0.0,CCCCCCCC/C=C\CCCCCCCC(=O)N(C)CC(=O)O
190,12820,0.0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O
191,24347,0.0,C=CC(=O)OCC(C)OCC(C)OCC(C)OC(=O)C=C
192,3357,0.0,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1
193,9330,0.0,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
194,26825,0.0,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C
195,25557,0.0,CC(C)(C)CC(C)(C)c1ccc(O)cc1
196,1872,0.0,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O
197,29084,0.0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
198,12501,0.0,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
199,25499,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
200,27483,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
201,1295,0.0,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12.[Na+].[Na+]
202,6709,0.0,CC1(C)C(/C=C\C=C/C=C\C=C2\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21.[Na+]
203,4259,0.0,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2c(O)c(S(=O)(=O)[O-])cc3cc(S(=O)(=O)[O-])ccc23)cc1.[Na+]
204,20540,0.0,CCCCN(CCCC)C(=S)[S-].CCCCN(CCCC)C(=S)[S-].[Zn+2]
205,20263,0.0,CCNC(=O)/C=C/c1cccc(Br)c1
206,22184,0.0,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O
207,3897,0.0,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31
208,21504,0.0,C=C1C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O
209,11571,0.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
210,2022,0.0,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O
211,8300,0.0,CC(C)Nc1ccc(Nc2ccccc2)cc1
212,26194,0.0,COc1cc(NCCCC(C)N)c2ncccc2c1
213,1444,0.0,CCCC[Sn](CCCC)(CCCC)CCCC
214,3736,0.0,COc1cccc(-c2ccc(/C=C\CN3CCCCCC3)cc2Cl)c1.Cl
215,26416,0.0,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2.Cl
216,6152,0.0,Cl.O.c1cnc2c(c1)ccc1cccnc12
217,9591,0.0,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
218,979,0.0,C=C1C(C)(C)[C@@]2(Cl)C(Cl)[C@]1(Cl)C(Cl)(Cl)C2(Cl)Cl
219,2591,0.0,O=C(Nc1ccc(Oc2ccc(Cl)cc2)c(Cl)c1)c1cc(I)cc(I)c1O
220,2823,0.0,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
221,5074,0.0,COc1ccc(-c2cc(=S)ss2)cc1
222,653,1.0,CS(=O)(=O)O.N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
223,26872,1.0,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1
224,12498,1.0,O=C(CCCCCCC(=O)Nc1ccccc1)NO
225,22264,1.0,CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1
226,27310,1.0,Cc1cccc(C)c1Nc1ncccc1C(=O)O
227,7403,1.0,O=C(OCc1ccccc1)c1ccc(O)cc1
228,22124,1.0,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1
229,1150,1.0,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-]
230,26008,1.0,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-]
231,26872,1.0,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+]
