,DSSTox_CID,SR-ARE,SMILES
31,12545,0.0,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1
32,6305,0.0,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
33,21872,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
34,27107,0.0,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl
35,14181,0.0,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
36,27901,0.0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl
37,1948,0.0,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O
38,3041,0.0,CC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
39,16291,0.0,CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c2ccccc2)c2ccccc21
40,24826,0.0,CC=CC=NNC(=O)c1ccncc1
41,3986,0.0,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
42,26128,0.0,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1
43,404,0.0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1
44,9691,0.0,C[C@@H](N)C(=O)O
45,1360,0.0,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
46,23843,0.0,CCC1(c2cnc[nH]2)Cc2ccccc2C1
47,7212,0.0,Cc1cccc(Cc2c[nH]cn2)c1C.Cl
48,25443,0.0,Cl.Cn1cc(C(=O)[C@@H]2CCc3[nH]cnc3C2)c2ccccc21
49,5082,0.0,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O.Cl
50,29068,0.0,CCOC(=O)N1CCC(Nc2ccc(Cl)cc2N)CC1
51,24647,0.0,CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1
52,17202,0.0,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O
53,6615,0.0,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
54,20245,0.0,NC(=O)C(=O)NN=Cc1ccc([N+](=O)[O-])o1
55,26461,0.0,O=C(CS)Nc1ccccc1
56,21545,0.0,COc1cc(OC)nc(O[C@H](C(=O)O)C(OC)(c2ccccc2)c2ccccc2)n1
57,10784,0.0,O=C(O)c1cc(O)nc(O)n1
58,7652,0.0,COC(=O)c1ccc(O)cc1
59,20715,0.0,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
60,2189,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
61,22186,0.0,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1
62,28166,0.0,Oc1c(Br)cc(Br)c2cccnc12
63,3351,0.0,Cc1ccc(O)c2ncccc12
64,913,0.0,Oc1ccc(Cl)c2cccnc12
65,5927,0.0,COc1ccc(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC.Cl.Cl
66,14544,0.0,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12.Cl
67,1791,0.0,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
68,5479,0.0,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
69,13701,0.0,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
70,2795,0.0,COc1cc(C=C2CCCC(=Cc3ccc(O)c(OC)c3)C2=O)ccc1O
71,28575,0.0,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
72,588,0.0,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
73,15592,0.0,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O
74,11956,0.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
75,4504,0.0,CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2
76,3718,0.0,CC(=O)O[Hg]c1ccccc1
77,11089,0.0,CC(C)(C)C1CCC(CC2=C(O)C(=O)c3ccccc3C2=O)CC1
78,8965,0.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C
79,26852,0.0,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
80,27343,0.0,Cl.Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1
81,24131,0.0,CNCCCC1c2ccccc2C=Cc2ccccc21.Cl
82,27620,0.0,CNCCCN1c2ccccc2CCc2ccccc21.Cl
83,6117,0.0,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
84,25938,0.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.CS(=O)(=O)O.CS(=O)(=O)O
85,5609,0.0,CCCCCOc1ccccc1/C(=C\SC)n1ccnc1
86,4935,0.0,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
87,4107,0.0,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
88,6995,0.0,N=C(N)NN=C(C=Cc1ccc([N+](=O)[O-])o1)C=Cc1ccc([N+](=O)[O-])o1
89,30037,0.0,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC
90,17579,0.0,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-]
91,15305,0.0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-]
92,3193,0.0,CCN1C(=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-]
93,26287,0.0,O=C1C(I)=CC(=C(c2cc(I)c([O-])c(I)c2)c2ccccc2C(=O)[O-])C=C1I.[Na+].[Na+]
94,24973,0.0,CC[Hg]Sc1ccccc1C(=O)[O-].[Na+]
95,31586,0.0,CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1
96,1519,0.0,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1
97,307,0.0,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1.Cl.Cl
98,27792,0.0,Cl.O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
99,24523,0.0,COC(=O)c1nc(Cl)c(Cl)nc1N
100,29279,0.0,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
101,12357,0.0,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
102,21711,0.0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
103,21182,0.0,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
104,7838,0.0,COc1ccc([C@@H]2Sc3ccccc3NC(=O)[C@@H]2O)cc1
105,6516,0.0,CS(=O)(=O)O.N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
106,13264,0.0,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
107,2365,0.0,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
108,21380,0.0,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
109,25534,0.0,Nc1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2
110,16690,0.0,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
111,54,0.0,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12.O=C(O)C(O)C(O)C(=O)O
112,7500,0.0,O=C(Oc1cccc2cccnc12)c1ccccc1
113,3880,0.0,CC[C@]1(O)C[C@@H]2C[N@@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O
114,11356,0.0,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
115,14301,0.0,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O
116,20001,0.0,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-]
117,2633,0.0,CC1(C)[C@@H](OC(=O)CCC(=O)[O-])CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)[O-])CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12.[Na+].[Na+]
118,6767,0.0,Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1
119,25307,0.0,CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
120,9316,0.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
121,14699,0.0,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
122,1283,0.0,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
123,28930,0.0,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
124,496,0.0,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
125,12655,0.0,COc1cc(C)nc(-n2nc(C)cc2OC)n1
126,2070,0.0,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O
127,27197,0.0,CCCCCCCC/C=C\CCCCCCCCN
128,7095,0.0,Cl.Cl.N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
129,22559,0.0,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21.Cl
130,220,0.0,Cl.O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
131,1057,0.0,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
132,8664,0.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
133,10429,0.0,ClCCN(CCCl)CCCl
134,2910,0.0,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
135,26973,0.0,CS(=O)(=O)O.C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@]1(C)[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21
136,25660,0.0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
137,31405,0.0,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
138,13923,0.0,Cc1c(Cl)c(=O)oc2cc(OP(=O)(OCCCl)OCCCl)ccc12
139,22038,0.0,Cc1ccc(S(=O)(=O)O)cc1.NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1
140,18321,0.0,Oc1c(I)cc(I)c2cccnc12
141,9127,0.0,O=Cc1ccc(O)c(O)c1O
142,25807,0.0,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
143,26582,0.0,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Br-]
144,4261,0.0,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+]
145,28721,0.0,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1
146,12884,0.0,CC1(C)OC(=O)Nc2ccc(Br)cc21
147,4815,0.0,CC(C)=CCNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
148,9869,0.0,c1ccc2c(c1)OCC(C1=NCCN1)O2
149,15138,0.0,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
150,7295,0.0,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1
151,13440,0.0,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
152,22322,0.0,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
153,1426,0.0,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(N(C)C)c3ccccc32)cc1
154,27422,0.0,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
155,6204,0.0,Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1
156,9618,0.0,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1
157,24754,0.0,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
158,4436,0.0,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C
159,4194,0.0,CCOc1ccccc1C(N)=O
160,24267,0.0,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12.Cl
161,21625,0.0,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1.Cl
162,5344,0.0,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1.Cl.Cl
163,1863,0.0,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC.Cl.Cl.Cl
164,11493,0.0,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1.Cl
165,10605,0.0,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl
166,24915,0.0,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl
167,5688,0.0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21.Cl
168,27702,0.0,CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl
169,844,0.0,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12.Cl
170,26037,0.0,C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl
171,21032,0.0,Cl.O=C(O)Cc1ccc(OCCNC[C@H](O)c2ccccc2)cc1
172,650,0.0,COc1cccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(=O)O)c1.Cl
173,20131,0.0,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2.Cl
174,3456,0.0,CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1
175,6913,0.0,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
176,4639,0.0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
177,28394,0.0,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1
178,26407,0.0,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
179,5849,0.0,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
180,8300,0.0,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1
181,5988,0.0,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12
182,6711,0.0,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
183,7579,0.0,COc1ccc(C=CC(=O)c2ccc(OC)cc2OC)cc1
184,1995,0.0,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1
185,24445,0.0,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1
186,5015,0.0,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2
187,3266,0.0,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
188,5143,0.0,N#C/C(=C1\SCC(c2ccccc2Cl)S1)n1ccnc1
189,7774,0.0,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O
190,29144,0.0,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
191,3109,0.0,Nc1ccncc1N
192,30270,0.0,CCCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N
193,26741,0.0,Nc1nc2nc[nH]c2c(=S)[nH]1
194,19719,0.0,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
195,14809,0.0,O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1ccc([N+](=O)[O-])cc1
196,27284,0.0,O=NN(CCCl)C(=O)NC1CCCCC1
197,24584,0.0,O=C(O)/C=C/C(=O)O.c1ccc(C(O[C@H]2CCCN(CCc3ccc4c(c3)OCO4)C2)c2ccccc2)cc1
198,27043,0.0,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.O=C(O)/C=C\C(=O)O
199,29328,0.0,O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O.c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1
200,1686,0.0,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
201,2733,0.0,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
202,12121,0.0,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2
203,17072,0.0,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
204,2437,0.0,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
205,1204,0.0,COC(=O)Nc1nc2cc(C(=O)C3CC3)ccc2[nH]1
206,6421,0.0,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1
207,28848,0.0,CCCOc1ccc2[nH]c(NC(=O)OC)nc2c1
208,27559,0.0,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
209,24699,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC
210,965,0.0,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
211,20342,0.0,O=C(O)c1ccccc1-c1ccc(C(F)(F)F)cc1
212,3608,0.0,OC(CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1
213,25379,0.0,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
214,10055,0.0,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1
215,12464,0.0,Cc1cc(O)c2c(O)c3c(O)cccc3cc2c1
216,25576,0.0,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
217,5425,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
218,16105,0.0,COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O
219,18694,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
220,14396,0.0,OCCc1ccccc1
221,21443,0.0,CCCCOc1ccc(CC(=O)NO)cc1
222,25862,0.0,S=c1[nH]cnc2[nH]cnc12
223,25090,0.0,OC[C@H]1O[C@@H](n2cnc3c(S)ncnc32)[C@H](O)[C@@H]1O
224,28638,0.0,C[N+]1(CCF)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-].[Br-]
225,24223,0.0,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.[Br-]
226,31616,0.0,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl.[Cl-].[Cl-]
227,2304,0.0,CC[N+](CC)(CC)CC.[Cl-]
228,20583,0.0,Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N.[Cl-]
229,21960,0.0,Cc1cccn2c(=O)c(-c3nnn[n-]3)cnc12.[K+]
230,23939,0.0,O=C1OC(c2ccc(O)c(S(=O)(=O)[O-])c2)(c2ccc(O)c(S(=O)(=O)[O-])c2)c2c(Br)c(Br)c(Br)c(Br)c21.[Na+].[Na+]
231,2578,0.0,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O.O.O.[Na+].[Na+]
232,25189,0.0,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+]
